candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender
KHEKIHO ZHIMOMI,http://myneta.info/2008Nagaland/candidate.php?candidate_id=12,Ghaspani-I,NPF,0,Graduate,19734225,0,19734225,4,ST,DIMAPUR,NA,,false,false,Male
KHETO,http://myneta.info/2008Nagaland/candidate.php?candidate_id=53,Akuluto,INC,0,Graduate,5160000,0,5160000,31,ST,ZUNHEBOTO,NA,,false,false,Male
KHETOHO,http://myneta.info/2008Nagaland/candidate.php?candidate_id=54,Akuluto,NPF,0,10th Pass,21357000,0,21357000,31,ST,ZUNHEBOTO,NA,,false,false,Male
KHONGO,http://myneta.info/2008Nagaland/candidate.php?candidate_id=211,Thonoknyu,RJD,0,12th Pass,807148,0,807148,57,ST,TUENSANG,NA,,false,false,Male
KHONGWANG,http://myneta.info/2008Nagaland/candidate.php?candidate_id=149,Tizit,BJP,0,12th Pass,820000,0,820000,41,ST,MON,NA,,false,false,Male
KHONOU,http://myneta.info/2008Nagaland/candidate.php?candidate_id=209,Thonoknyu,INC,0,10th Pass,420000,0,420000,57,ST,TUENSANG,NA,,false,false,Male
KHUTOVI,http://myneta.info/2008Nagaland/candidate.php?candidate_id=58,Suruhuto,INC,0,Graduate,1166220,0,1166220,33,ST,ZUNHEBOTO,NA,,false,false,Male
KHUVISHE,http://myneta.info/2008Nagaland/candidate.php?candidate_id=64,Zunheboto,BJP,0,8th Pass,975918,0,975918,35,ST,ZUNHEBOTO,NA,,false,false,Male
KHYOTHUNGO K. OVUNG,http://myneta.info/2008Nagaland/candidate.php?candidate_id=138,Wokha,RJD,0,10th Pass,6140000,0,6140000,38,ST,WOKHA,NA,,false,false,Male
KIHETO,http://myneta.info/2008Nagaland/candidate.php?candidate_id=25,Siyuchong-Sitimi,BJP,0,8th Pass,469500,0,469500,59,ST,KIPHIRE,NA,,false,false,Male
KIKHEHO SEMA,http://myneta.info/2008Nagaland/candidate.php?candidate_id=16,Ghaspani-II,RJD,0,Graduate,6050000,0,6050000,5,ST,DIMAPUR,NA,,false,false,Male
KIYANILIE PESEYIE,http://myneta.info/2008Nagaland/candidate.php?candidate_id=45,Western Angami,NPF,0,Graduate,90492955,0,90492955,8,ST,KOHIMA,NA,,false,false,Male
KONGAM,http://myneta.info/2008Nagaland/candidate.php?candidate_id=155,Phomching,INC,0,8th Pass,3150356,0,3150356,44,ST,MON,NA,,false,false,Male
KUZHOLUZO,http://myneta.info/2008Nagaland/candidate.php?candidate_id=79,Phek,NPF,0,Graduate,23564157,0,23564157,19,ST,PHEK,NA,,false,false,Male
L. ELAM,http://myneta.info/2008Nagaland/candidate.php?candidate_id=195,Tuensang Sadar-I,NPF,0,Graduate,6100000,0,6100000,53,ST,TUENSANG,NA,,false,false,Male
L. INAZHE SEMA,http://myneta.info/2008Nagaland/candidate.php?candidate_id=8,Dimapur-III,RJD,0,Graduate Professional,14218215,0,14218215,3,ST,DIMAPUR,NA,,false,false,Male
L. TEMJEN JAMIR,http://myneta.info/2008Nagaland/candidate.php?candidate_id=85,Tuli,NPF,0,10th Pass,1950000,0,1950000,21,ST,MOKOKCHUNG,NA,,false,false,Male
L. TSANIO SANGTAM,http://myneta.info/2008Nagaland/candidate.php?candidate_id=24,Siyuchong-Sitimi,NPF,0,10th Pass,403000,0,403000,59,ST,KIPHIRE,NA,,false,false,Male
L.T. SANGTAM,http://myneta.info/2008Nagaland/candidate.php?candidate_id=191,Longkhim Chare,NPF,0,Not Given,12080000,0,12080000,52,ST,TUENSANG,NA,,false,false,Male
LANPHA,http://myneta.info/2008Nagaland/candidate.php?candidate_id=153,Tapi,INC,0,10th Pass,3613812,0,3613812,43,ST,MON,NA,,false,false,Male
LEIYANG,http://myneta.info/2008Nagaland/candidate.php?candidate_id=158,Phomching,LJP,0,Graduate,200000,0,200000,44,ST,MON,NA,,false,false,Male
LONGRINEKEN,http://myneta.info/2008Nagaland/candidate.php?candidate_id=90,Jangpetkong,NPF,0,Graduate,95300000,0,95300000,29,ST,MOKOKCHUNG,NA,,false,false,Male
M. CHENLOM,http://myneta.info/2008Nagaland/candidate.php?candidate_id=178,Longleng,NPF,0,10th Pass,1410000,0,1410000,50,ST,LONGLENG,NA,,false,false,Male
M. MANOHN,http://myneta.info/2008Nagaland/candidate.php?candidate_id=184,Tamlu,RJD,0,10th Pass,50000,0,50000,49,ST,LONGLENG,NA,,false,false,Male
M. ROKKIMONG,http://myneta.info/2008Nagaland/candidate.php?candidate_id=217,Shamtorr-Chessore,BJP,0,10th Pass,1805000,0,1805000,58,ST,TUENSANG,NA,,false,false,Male
M.C. KONYAK,http://myneta.info/2008Nagaland/candidate.php?candidate_id=150,Wakching,BJP,0,Graduate,1064000,0,1064000,42,ST,MON,NA,,false,false,Male
MERENCHIBA,http://myneta.info/2008Nagaland/candidate.php?candidate_id=115,Alungtaki,BJP,0,Post Graduate,7100000,0,7100000,30,ST,MOKOKCHUNG,NA,,false,false,Male
