State_Name,Year,month,Assembly_No,DelimID,Constituency_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin_Percentage,ENOP
Himachal_Pradesh,2012,2,12,4,8,7,RAMESH DUTT (BHOLA),M,IND,345,36,GEN,50898,72676,FATEHPUR,GEN,KANGRA,BEAS RIVER REGION,8,70.03,0.68,yes,0.03,3.45
Himachal_Pradesh,2012,2,12,4,8,4,PANKAJ SHARMA (HAPPY),M,IND,4992,35,GEN,50898,72676,FATEHPUR,GEN,KANGRA,BEAS RIVER REGION,8,70.03,9.81,yes,0.02,3.45
Himachal_Pradesh,2012,2,12,4,8,5,OM PARKASH,M,BSP,4984,53,GEN,50898,72676,FATEHPUR,GEN,KANGRA,BEAS RIVER REGION,8,70.03,9.79,yes,8.21,3.45
Himachal_Pradesh,2012,2,12,4,8,6,DR. ASHOK KUMAR SOMAL,M,IND,804,54,GEN,50898,72676,FATEHPUR,GEN,KANGRA,BEAS RIVER REGION,8,70.03,1.58,yes,0.9,3.45
Himachal_Pradesh,2012,2,12,4,9,1,NEERAJ BHARTI,M,INC,23798,34,GEN,57257,80874,JAWALI,GEN,KANGRA,BEAS RIVER REGION,9,70.8,41.56,no,7.74,3.03
Himachal_Pradesh,2012,2,12,4,9,2,ARJAN SINGH,M,BJP,19364,49,GEN,57257,80874,JAWALI,GEN,KANGRA,BEAS RIVER REGION,9,70.8,33.82,no,14.74,3.03
Himachal_Pradesh,2012,2,12,4,9,3,SANJAY KUMAR GULERIA,M,IND,10924,50,GEN,57257,80874,JAWALI,GEN,KANGRA,BEAS RIVER REGION,9,70.8,19.08,no,16.95,3.03
Himachal_Pradesh,2012,2,12,4,9,4,SUSHIL SHARMA,M,IND,1221,46,GEN,57257,80874,JAWALI,GEN,KANGRA,BEAS RIVER REGION,9,70.8,2.13,yes,0.92,3.03
Himachal_Pradesh,2012,2,12,4,9,5,RAVINDER SINGH,M,HLP,693,47,GEN,57257,80874,JAWALI,GEN,KANGRA,BEAS RIVER REGION,9,70.8,1.21,yes,0.35,3.03
Himachal_Pradesh,2012,2,12,4,9,6,RAVI KUMAR,M,BSP,493,39,SC,57257,80874,JAWALI,GEN,KANGRA,BEAS RIVER REGION,9,70.8,0.86,yes,0.31,3.03
Himachal_Pradesh,2012,2,12,4,9,7,AMAN KUMAR,M,NCP,315,32,GEN,57257,80874,JAWALI,GEN,KANGRA,BEAS RIVER REGION,9,70.8,0.55,yes,0.06,3.03
