candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks,party_eci
Shaikh Mustakbhai Aiyubbhai,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5047,BALASINOR,JD(U),1,Literate,927727,0,927727,121,GEN,Mahisagar,Central Gujarat,false,false,false,Male,NA,NA,NA,NA,NA,NA,Janata Dal (United)
Shaikh Saidabanu Abdulrahim,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5703,DARIAPUR,IND,1,5th Pass,1140000,0,1140000,51,GEN,Ahmedabad,Central Gujarat,false,true,false,Female,NA,NA,NA,NA,NA,NA,Independent
Shaikh Salmabanu Mohmad Salimbhai,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5672,VATVA,IND,0,8th Pass,155000,0,155000,43,GEN,Ahmedabad,Central Gujarat,false,true,false,Female,NA,NA,NA,NA,NA,NA,Independent
Shaikh Tamanna Iqubal,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5204,SAYAJIGUNJ,IND,0,10th Pass,150000,0,150000,142,GEN,Vadodara,Central Gujarat,true,true,false,Female,NA,NA,NA,NA,NA,NA,Independent
Shaikh Yunush Gulamrasul,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5325,VEJALPUR,Apna Desh Party,2,8th Pass,1060000,0,1060000,42,GEN,Ahmedabad,Central Gujarat,false,true,true,Male,NA,NA,NA,NA,NA,NA,Apna Desh Party
Shaileshbhai Gandabhai Bharvad,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4783,VATVA,IND,0,8th Pass,26262963,900000,25362963,43,GEN,Ahmedabad,Central Gujarat,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Shakoriya Hasmukhbhai Naranbhai,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4623,JASDAN,SHS,1,10th Pass,6965000,500000,6465000,72,GEN,Rajkot,Saurashtra,true,true,true,Male,NA,NA,NA,NA,NA,NA,Shivsena
Shaktisinh Sardarsinh Sisodiya,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4830,DHOLKA,IND,0,Graduate Professional,9310530,4200000,5110530,58,GEN,Ahmedabad,Central Gujarat,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Shamala Ramabhai Goganbhai,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4698,KUTIYANA,IND,0,Literate,845000,0,845000,84,GEN,Porbandar,Saurashtra,false,false,false,Male,NA,NA,NA,NA,NA,NA,Independent
Shankar Manakbhai Jatrubhai,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4223,BANSDA (ST),BSP,0,10th Pass,350000,0,350000,177,ST,Navsari,South Gujarat,false,false,false,Male,NA,NA,NA,NA,NA,NA,Bahujan Samaj Party
