candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Prewil Ch Marak,http://myneta.info/meghalaya2013/candidate.php?candidate_id=157,GAMBEGRE (ST),IND,0,12th Pass,848473,93000,755473,56,ST,NA,NA,false,false,false,Male,,,,,,
Probin K. Raswai,http://myneta.info/meghalaya2013/candidate.php?candidate_id=230,RANIKOR (ST),UDP,0,10th Pass,6923000,1000000,5923000,35,ST,NA,NA,false,true,false,Male,,,,,,
Process T. Sawkmie,http://myneta.info/meghalaya2013/candidate.php?candidate_id=98,PYNTHORUMKHRAH,IND,0,Graduate,15123000,0,15123000,14,GEN,NA,NA,false,false,false,Male,,,,,,
Promod Koch,http://myneta.info/meghalaya2013/candidate.php?candidate_id=257,SELSELLA (ST),SP,0,12th Pass,455600,0,455600,48,ST,NA,NA,false,true,false,Male,,,,,,
Purno K. Sangma,http://myneta.info/meghalaya2013/candidate.php?candidate_id=341,DADENGGRE (ST),INC,0,10th Pass,2175082,302909,1872173,49,ST,NA,NA,false,true,false,Male,,,,,,
Pyndapborthiaw Saibon,http://myneta.info/meghalaya2013/candidate.php?candidate_id=306,MAWLAI (ST),KHNAM,0,Graduate,3888237,0,3888237,15,ST,NA,NA,false,true,false,Male,,,,,,
Pynehborlang Mukhim,http://myneta.info/meghalaya2013/candidate.php?candidate_id=2,MAWRYNGKNENG (ST),INC,0,Others,3574706,0,3574706,13,ST,NA,NA,false,true,false,Male,,,,,,
Pyniaid Sing Syiem,http://myneta.info/meghalaya2013/candidate.php?candidate_id=95,MAWRYNGKNENG (ST),HSPDP,0,12th Pass,15709747,2000000,13709747,13,ST,NA,NA,false,true,false,Male,,,,,,
Pynshai Manik Syiem,http://myneta.info/meghalaya2013/candidate.php?candidate_id=7,MAWPHLANG (ST),IND,0,Graduate Professional,6596670,627600,5969070,24,ST,NA,NA,false,true,false,Male,,,,,,
Pynshngainlang Syiem,http://myneta.info/meghalaya2013/candidate.php?candidate_id=178,MAWSYNRAM (ST),INC,0,Graduate,11111846,0,11111846,25,ST,NA,NA,false,false,false,Male,http://myneta.info/meghalaya2013/index.php?action=affidavitComparison&myneta_folder2=2008Meghalaya&id1=178&id2=81,11111846,904728,10207118,1128%,
Qually Suiam,http://myneta.info/meghalaya2013/candidate.php?candidate_id=92,MOWKAIAW (ST),INC,0,12th Pass,42744433,416211,42328222,4,ST,NA,NA,false,true,false,Male,,,,,,
