candidate_name,constituency,party,criminal_cases,education,assets,liabilities,net_assets,filed_itr,ac_no,reservations,district,sub_region
Inder Singh,SARKAGHAT,BJP,0,Post Graduate,27844813,1640000,26204813,true,35,GEN,MANDI,BEAS RIVER REGION
Inder Singh Thakur,DOON,IND,0,Post Graduate,4602329,0,4602329,true,52,GEN,SOLAN,SHIVALIK REGION
Indu Bala,PALAMPUR,BJP,0,Graduate,8297494,425500,7871994,true,19,GEN,KANGRA,BEAS RIVER REGION
Jagat Singh Negi,KINNAUR,INC,0,Graduate Professional,30384449,2380965,28003484,true,68,ST,KINNAUR,GREATER HIMALAYAS
Jagdish Chand,SARKAGHAT,IND,0,Post Graduate,6440000,0,6440000,true,35,GEN,MANDI,BEAS RIVER REGION
Jagjiwan Paul,SULLAH,INC,0,12th Pass,9438200,3963300,5474900,true,14,GEN,KANGRA,BEAS RIVER REGION
Jai Ram Thakur,SERAJ,BJP,0,Graduate,32799144,1819462,30979682,true,29,GEN,MANDI,BEAS RIVER REGION
Janam Singh,BHARMOUR,IND,0,12th Pass,14598674,600000,13998674,true,2,ST,CHAMBA,BEAS RIVER REGION
Jawahar Thakur,DARANG,BJP,0,8th Pass,58912992,2500867,56412125,true,30,GEN,MANDI,BEAS RIVER REGION
Jeet Ram Katwal,JHANDUTA,BJP,0,Post Graduate,17098264,853593,16244671,true,46,SC,BILASPUR,SHIVALIK REGION
Jia Lal,BHARMOUR,BJP,2,10th Pass,8319838,0,8319838,true,2,ST,CHAMBA,BEAS RIVER REGION
Jiwan Lal,JOGINDERNAGAR,INC,0,Post Graduate,7224105,2048000,5176105,true,31,GEN,MANDI,BEAS RIVER REGION
Kamal Kant Sharma,KULLU,IND,0,Graduate Professional,179086673,0,179086673,true,23,GEN,KULLU,BEAS RIVER REGION
Kamal Kishore,INDORA,INC,0,Graduate Professional,4959983,865880,4094103,true,7,SC,KANGRA,BEAS RIVER REGION
Kamal Pathania,HAMIRPUR,IND,0,12th Pass,32779303,12925000,19854303,true,38,GEN,HAMIRPUR,SHIVALIK REGION
Kaul Singh,DARANG,INC,0,Graduate Professional,80384352,7733319,72651033,true,30,GEN,MANDI,BEAS RIVER REGION
Kedar Singh Jindan,SHILLAI,BSP,1,Post Graduate,1165000,0,1165000,true,59,GEN,SIRMOUR,SHIVALIK REGION
Kehar Singh,JAISINGHPUR,BSP,0,Doctorate,41500000,0,41500000,true,13,SC,KANGRA,BEAS RIVER REGION
Keshav Kumar,KASAULI,Swabhiman Party,0,5th Pass,5025000,2000000,3025000,true,54,SC,SOLAN,SHIVALIK REGION
Kewal Singh,SHAHPUR,INC,0,Post Graduate,27922603,3474255,24448348,true,17,GEN,KANGRA,BEAS RIVER REGION
Kirnesh Jung,PAONTA SAHIB,INC,0,12th Pass,83889425,6505550,77383875,true,58,GEN,SIRMOUR,SHIVALIK REGION
Kishan Chand,DHARAMSHALA,BJP,1,12th Pass,79986396,1971733,78014663,true,18,GEN,KANGRA,BEAS RIVER REGION
Kishori Lal,BAIJNATH,INC,0,10th Pass,41455034,600000,40855034,true,20,SC,KANGRA,BEAS RIVER REGION
Kishori Lal,ANNI,BJP,0,Post Graduate,25293001,1550000,23743001,true,25,SC,KULLU,BEAS RIVER REGION
Kripal Singh Parmar,FATEHPUR,BJP,0,Graduate Professional,27468286,800230,26668056,true,8,GEN,KANGRA,BEAS RIVER REGION
Krishan Lal Thakur,NALAGARH,BJP,3,Graduate Professional,27905607,7544353,20361254,true,51,GEN,SOLAN,SHIVALIK REGION
Kuldeep Singh,HAMIRPUR,INC,0,Graduate,20144988,959322,19185666,true,38,GEN,HAMIRPUR,SHIVALIK REGION
Kuldeep Singh Pathania,BHATTIYAT,INC,0,Graduate Professional,89573130,2229043,87344087,true,5,GEN,CHAMBA,BEAS RIVER REGION
Kuldip Kumar,CHINTPURNI,INC,0,Graduate,23663487,3963174,19700313,true,41,SC,UNA,BEAS RIVER REGION
Kuldip Singh,KANGRA,Lok Gathbandhan Party,0,Graduate,38314851,0,38314851,true,16,GEN,KANGRA,BEAS RIVER REGION
Kuldip Singh Tanwar,KASUMPTI,CPI(M),1,Doctorate,104627992,0,104627992,true,62,GEN,SHIMLA,SHIMLA REGION
Kushal Raj,SHIMLA RURAL,Swabhiman Party,0,Graduate,6474000,0,6474000,true,64,GEN,SHIMLA,SHIMLA REGION
Lakhvinder Singh Rana,NALAGARH,INC,0,Graduate,57201782,3408000,53793782,true,51,GEN,SOLAN,SHIVALIK REGION
Lal Singh Mastana,HAMIRPUR,BSP,0,Graduate,8279000,563390,7715610,true,38,GEN,HAMIRPUR,SHIVALIK REGION
Lalit Thakur,BHARMOUR,IND,1,Post Graduate,22470576,0,22470576,true,2,ST,CHAMBA,BEAS RIVER REGION
Lekh Raj,NADAUN,IND,0,10th Pass,408907409,4876100,404031309,true,40,GEN,HAMIRPUR,SHIVALIK REGION
Lekh Raj,PALAMPUR,CPI(M),0,Graduate,1048000,143000,905000,true,19,GEN,KANGRA,BEAS RIVER REGION
Lokinder Singh,JUBBAL-KOTKHAI,IND,0,Graduate,3486184,0,3486184,true,65,GEN,SHIMLA,SHIMLA REGION
Madan Mohan Thakur,KASUMPTI,IND,0,10th Pass,25117000,0,25117000,true,62,GEN,SHIMLA,SHIMLA REGION
Mahender Singh,DHARAMPUR,BJP,1,12th Pass,156335376,0,156335376,true,32,GEN,MANDI,BEAS RIVER REGION
Maheshwar Singh,KULLU,BJP,0,12th Pass,179950412,0,179950412,true,23,GEN,KULLU,BEAS RIVER REGION
Manohar Lal,KUTLEHAR,BSP,0,10th Pass,4520684,450000,4070684,true,45,GEN,UNA,BEAS RIVER REGION
Manohar Lal,DEHRA,Bhartiya Himachal Jan Vikas Party,0,Illiterate,5717132,1900000,3817132,true,10,GEN,KANGRA,BEAS RIVER REGION
Meena Kumari,PAONTA SAHIB,Lok Gathbandhan Party,0,Post Graduate,1706761,0,1706761,true,58,GEN,SIRMOUR,SHIVALIK REGION
Mohan Dass,SHIMLA RURAL,IND,0,Graduate,4725110,300000,4425110,true,64,GEN,SHIMLA,SHIMLA REGION
Mohan Lal Brakta,ROHRU,INC,0,Graduate Professional,18280012,4000000,14280012,true,67,SC,SHIMLA,SHIMLA REGION
Mohinder Kumar,JAISINGHPUR,IND,0,Graduate,1273160,150000,1123160,true,13,SC,KANGRA,BEAS RIVER REGION
Mujesh Kumar,JASWAN-PRAGPUR,IND,0,10th Pass,9955000,5580000,4375000,true,11,GEN,KANGRA,BEAS RIVER REGION
Mukesh Agnihotri,HAROLI,INC,0,Graduate,77507137,1615278,75891859,true,43,GEN,UNA,BEAS RIVER REGION
Mulkh Raj,BAIJNATH,BJP,0,10th Pass,532500,991000,-458500,true,20,SC,KANGRA,BEAS RIVER REGION
Murli Dhar,JAISINGHPUR,All India Manavadhikar Rajnaitik Dal,0,Graduate,2813000,0,2813000,true,13,SC,KANGRA,BEAS RIVER REGION
Nagesh Kumar,BHATTIYAT,IND,0,Graduate,4778000,700000,4078000,true,5,GEN,CHAMBA,BEAS RIVER REGION
Nand Lal,RAMPUR,INC,0,Post Graduate,30504900,1750157,28754743,true,66,SC,SHIMLA,SHIMLA REGION
Narender Kumar,MANDI,BSP,0,Graduate Professional,379623,28000,351623,true,33,GEN,MANDI,BEAS RIVER REGION
Narinder Bragta,JUBBAL-KOTKHAI,BJP,1,Post Graduate,36664050,1455561,35208489,true,65,GEN,SHIMLA,SHIMLA REGION
Narinder Thakur,HAMIRPUR,BJP,0,Post Graduate,23274307,4434675,18839632,true,38,GEN,HAMIRPUR,SHIVALIK REGION
Neeraj Nayar,CHAMBA,INC,1,Graduate,61843180,9847931,51995249,true,3,GEN,CHAMBA,BEAS RIVER REGION
Nisha Katoch,DHARAMSHALA,Swabhiman Party,0,Graduate Professional,6916414,2200000,4716414,true,18,GEN,KANGRA,BEAS RIVER REGION
Om Parkash,FATEHPUR,BSP,0,Graduate Professional,14036421,0,14036421,true,8,GEN,KANGRA,BEAS RIVER REGION
Om Prakash,JASWAN-PRAGPUR,IND,0,8th Pass,3245000,595000,2650000,true,11,GEN,KANGRA,BEAS RIVER REGION
Pankaj Kumar,DHARAMSHALA,IND,0,10th Pass,149069,10425,138644,true,18,GEN,KANGRA,BEAS RIVER REGION
Paramjeet Singh,DOON,BJP,0,Graduate,127386818,4048939,123337879,true,52,GEN,SOLAN,SHIVALIK REGION
Paro Devi,SARKAGHAT,Lok Gathbandhan Party,0,Graduate Professional,3953000,9300000,-5347000,true,35,GEN,MANDI,BEAS RIVER REGION
Parveen Kumar,SUJANPUR,BSP,0,Graduate,16999075,6700000,10299075,true,37,GEN,HAMIRPUR,SHIVALIK REGION
Parveen Kumar,PALAMPUR,IND,0,Graduate,10654499,1013499,9641000,true,19,GEN,KANGRA,BEAS RIVER REGION
Pawan Kumar,SARKAGHAT,INC,0,12th Pass,40829226,8133756,32695470,true,35,GEN,MANDI,BEAS RIVER REGION
Pawan Kumar Kajal,KANGRA,INC,0,10th Pass,75733767,4212363,71521404,true,16,GEN,KANGRA,BEAS RIVER REGION
Pawan Nayyar,CHAMBA,BJP,0,Graduate,33422263,2812000,30610263,true,3,GEN,CHAMBA,BEAS RIVER REGION
Prakash Chand,DHARAMPUR,IND,0,Post Graduate,9700000,1050000,8650000,true,32,GEN,MANDI,BEAS RIVER REGION
Prakash Chaudhary,BALH,INC,0,Post Graduate,17827964,3402177,14425787,true,34,SC,MANDI,BEAS RIVER REGION
Prakash Prem Kumar,JOGINDERNAGAR,IND,0,10th Pass,208607293,764459,207842834,true,31,GEN,MANDI,BEAS RIVER REGION
Pramod Kumar Sharma,SHIMLA RURAL,BJP,0,Doctorate,18931820,1622106,17309714,true,64,GEN,SHIMLA,SHIMLA REGION
Prem Kumar,BALH,BSP,0,Post Graduate,1339703,576753,762950,true,34,SC,MANDI,BEAS RIVER REGION
Prem Kumar Dhumal,SUJANPUR,BJP,2,Post Graduate,36279509,0,36279509,true,37,GEN,HAMIRPUR,SHIVALIK REGION
Prem Singh Draik,RAMPUR,BJP,0,Post Graduate,26213814,300000,25913814,true,66,SC,SHIMLA,SHIMLA REGION
Prithi Chand,NADAUN,IND,1,10th Pass,4665430,0,4665430,true,40,GEN,HAMIRPUR,SHIVALIK REGION
Rahul Ranpatia,BHATTIYAT,IND,0,Graduate Professional,8435000,500000,7935000,true,5,GEN,CHAMBA,BEAS RIVER REGION
Rajan Sushant,FATEHPUR,IND,1,Graduate Professional,24740022,4906645,19833377,true,8,GEN,KANGRA,BEAS RIVER REGION
