candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,gender,serious_criminal_cases,declared_pan,filed_itr,party_eci
Aditya Vikram Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3059,BANJAR,INC,0,Post Graduate,43424987,0,43424987,24,GEN,KULLU,BEAS RIVER REGION,Male,false,true,false,Indian National Congress
Ajay Bhatti,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3092,SOLAN,CPI(M),2,Post Graduate,11000,0,11000,53,SC,SOLAN,SHIVALIK REGION,Male,true,true,false,Communist Party of India (Marxist)
Ajay Mahajan,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3209,NURPUR,INC,0,Graduate,54166574,10755974,43410600,6,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Indian National Congress
Ajay Solanki,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3213,NAHAN,INC,0,12th Pass,6069512,0,6069512,56,GEN,SIRMOUR,SHIVALIK REGION,Male,false,true,false,Indian National Congress
Amar Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3338,BILASPUR,Lok Gathbandhan Party,0,Graduate,1246883,834000,412883,48,GEN,BILASPUR,SHIVALIK REGION,Male,false,true,false,Lok Gathbandhan Party
Amit Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3153,JASWAN-PRAGPUR,IND,0,12th Pass,575000,80000,495000,11,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,false,Independent
Anil Kumar Mankotia,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3308,HAMIRPUR,CPI(M),2,Graduate,575000,0,575000,38,GEN,HAMIRPUR,SHIVALIK REGION,Male,true,true,false,Communist Party of India (Marxist)
Anil Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3289,MANDI,BJP,1,12th Pass,402482216,20944395,381537821,33,GEN,MANDI,BEAS RIVER REGION,Male,false,true,true,Bharatiya Janata Party
Anirudh Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3189,KASUMPTI,INC,0,Graduate,162217508,10999355,151218153,62,GEN,SHIMLA,SHIMLA REGION,Male,false,true,true,Indian National Congress
Anita Alias Nitu,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3274,KARSOG,IND,1,12th Pass,9755000,95000,9660000,26,SC,MANDI,BEAS RIVER REGION,Female,true,true,false,Independent
Anup Dhiman,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3257,DHARAMSHALA,IND,0,Others,8730000,100000,8630000,18,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Independent
Anup Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3155,JASWAN-PRAGPUR,IND,0,12th Pass,1150000,0,1150000,11,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,false,Independent
Arjun Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3398,JAWALI,BJP,0,Post Graduate,38871330,0,38871330,9,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Bharatiya Janata Party
Arun Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3207,NAGROTA,BJP,0,10th Pass,9129606,0,9129606,15,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Bharatiya Janata Party
Asha Kumari,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3221,DALHOUSIE,INC,1,Graduate,45310570,6066090,39244480,4,GEN,CHAMBA,BEAS RIVER REGION,Female,true,true,true,Indian National Congress
Ashish Butail,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3408,PALAMPUR,INC,0,Graduate,219458723,34592831,184865892,19,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Indian National Congress
Ashish Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3304,HAMIRPUR,IND,0,Graduate Professional,10500,0,10500,38,GEN,HAMIRPUR,SHIVALIK REGION,Male,false,false,false,Independent
Ashwani Kajal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3256,DHARAMSHALA,Bahujan Mukti Party,0,Graduate,14826000,2750000,12076000,18,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,true,Bahujan Mukti Party
