candidate_name,constituency,party,criminal_cases,education,assets,liabilities,net_assets
Baldev Sharma,BARSAR,BJP,0,12th Pass,29975141,7565895,22409246
Baldev Singh,SHILLAI,BJP,0,Graduate,58788254,20800000,37988254
Baldev Thakur,FATEHPUR,IND,0,10th Pass,2728545,2347652,380893
Balvir Singh Verma,CHOPAL,BJP,0,12th Pass,907329000,267334000,639995000
Balwant Singh,INDORA,IND,0,12th Pass,160000,0,160000
Banarsi Dass Dogra,SHAHPUR,BSP,0,5th Pass,2219000,0,2219000
Basant Ram Sandhu,BILASPUR,IND,0,12th Pass,2006000,0,2006000
Beeru Ram Kishore,JHANDUTA,INC,0,Graduate Professional,15776008,7143169,8632839
Bhupender,DHARAMPUR,CPI(M),3,Post Graduate,3694562,800000,2894562
Bidhi Chand,FATEHPUR,IND,0,Post Graduate,10706489,0,10706489
Bikram Singh,JASWAN-PRAGPUR,BJP,1,Graduate Professional,7433840,2219713,5214127
Bikram Singh Jaryal,BHATTIYAT,BJP,1,Graduate,6448000,5000000,1448000
Bikram Singh Rana,SULLAH,IND,0,10th Pass,8793116,2604910,6188206
Bir Singh,BAIJNATH,IND,0,Graduate,96636,0,96636
Bumber Thakur,BILASPUR,INC,1,Graduate Professional,44683505,5744834,38938671
Chaman Lal,KARSOG,BSP,0,10th Pass,190120,0,190120
Champa Thakur,MANDI,INC,0,Post Graduate,17761708,2383329,15378379
Chander Kumar,JAWALI,INC,0,Post Graduate,61260532,2099140,59161392
Chander Shekhar,DHARAMPUR,INC,0,Graduate Professional,2249357,161000,2088357
Chet Ram,SERAJ,INC,0,10th Pass,10404992,708490,9696502
Churamani,DARANG,IND,0,10th Pass,3788,0,3788
Deepak Kumar,THEOG,INC,0,Graduate Professional,2100000,0,2100000
Des Raj,CHURAH,IND,0,Graduate,12063243,170421,11892822
Desh Raj,MANDI,IND,2,Graduate,2396269,675447,1720822
Desh Raj,SHAHPUR,IND,0,Post Graduate,15599200,1992244,13606956
Dev Raj Bhardwaj,KASUMPTI,IND,0,Others,652802017,0,652802017
Devi Ram Sharma,THEOG,IND,0,Post Graduate,21000000,3900000,17100000
Dhani Ram,BHORANJ,IND,0,Graduate,3868743,0,3868743
Dhani Ram Shandil,SOLAN,INC,0,Doctorate,10747409,4611108,6136301
Dharam Singh,SUNDERNAGAR,BSP,0,10th Pass,886357,0,886357
Dhavinder Singh,DALHOUSIE,BJP,2,10th Pass,80987490,9061961,71925529
Dhian Singh,DALHOUSIE,CPI,0,10th Pass,12290091,0,12290091
Digvijay Puri,DHARAMSHALA,IND,0,Graduate,16620000,170000,16450000
Digvijay Singh,DHARAMPUR,IND,0,Graduate Professional,32961000,252000,32709000
Dile Ram Thakur,SERAJ,IND,0,12th Pass,145000,0,145000
Dr. Ashok Kumar Somal,FATEHPUR,IND,0,Doctorate,13357000,0,13357000
Dr. Devinder Kumar Soni,CHAMBA,IND,0,Graduate Professional,18154412,548084,17606328
Dr. Kishori Lal Sharma,SHIMLA,Swabhiman Party,0,Doctorate,1320000,720000,600000
Dr. Rajeev Bindal,NAHAN,BJP,1,Graduate Professional,80963575,8098868,72864707
Dr. Rajesh Sharma,KANGRA,IND,1,Post Graduate,748303097,13332656,734970441
Dr. Ram Lal Markanda,LAHAUL & SPITI,BJP,0,Doctorate,8773811,0,8773811
Dr.Subhash Chand Manglate,CHOPAL,INC,0,Doctorate,79266881,12000000,67266881
Duni Chand,MANDI,IND,0,8th Pass,3150486,673000,2477486
G S Bali,NAGROTA,INC,0,Not Given,449644670,171250473,278394197
Gagan Deep Prashar,JASWAN-PRAGPUR,IND,1,12th Pass,2950000,1045000,1905000
Gajender Thakur,MANALI,IND,0,Graduate,227140000,7400000,219740000
Gangu Ram Musafir,PACHHAD,INC,0,Graduate,44817557,3924430,40893127
Govind Singh Thakur,MANALI,BJP,3,Graduate,68235051,11945108,56289943
Gulab Singh Thakur,JOGINDERNAGAR,BJP,0,Graduate Professional,21051328,1230552,19820776
Gulzar Singh,UNA,IND,0,8th Pass,3252000,450000,2802000
Gurnam Singh,NALAGARH,IND,0,8th Pass,1660000,1500000,160000
Hans Raj,JASWAN-PRAGPUR,IND,0,Graduate Professional,1616000,50000,1566000
Hans Raj,CHURAH,BJP,2,Post Graduate,5294137,1587148,3706989
Harbans Lal,JAWALI,Navbharat Ekta Dal,0,Graduate,965361,125000,840361
Harbhajan Singh Bhajji,SHIMLA,INC,0,Graduate,39746203,293299,39452904
Hardeep Singh Bawa,NALAGARH,IND,0,12th Pass,41870137,550000,41320137
Hari Chand,CHOPAL,BSP,0,Post Graduate,9871000,0,9871000
Hari Chand Sharma,MANALI,INC,0,10th Pass,77468186,23319240,54148946
Hari Singh Panwar,CHOPAL,IND,0,Graduate Professional,3593000,0,3593000
Harish Janartha,SHIMLA,IND,0,Graduate,53406000,6000000,47406000
Harnam Singh,NURPUR,BSP,0,8th Pass,705955,0,705955
Harpreet Singh,NALAGARH,IND,0,Graduate Professional,5034091,0,5034091
Harshwardhan Chauhan,SHILLAI,INC,0,Graduate Professional,112068559,4100000,107968559
Hem Raj,SARKAGHAT,IND,0,10th Pass,3046000,64000,2982000
Het Singh Verma,JOGINDERNAGAR,BSP,0,12th Pass,4524101,0,4524101
Hirdaya Ram,SRI RENUKAJI,IND,0,Graduate Professional,5978664,3000120,2978544
Hoshiar Singh,JASWAN-PRAGPUR,BSP,0,Post Graduate,4254000,1923000,2331000
Hoshyar Singh,DEHRA,IND,1,12th Pass,48468980,14060198,34408782
Inder Dutt Lakhanpal,BARSAR,INC,0,Graduate,44098037,15000000,29098037
Inder Singh,SARKAGHAT,BJP,0,Post Graduate,27844813,1640000,26204813
Inder Singh,BALH,BJP,0,10th Pass,11080083,0,11080083
Inder Singh,KASUMPTI,IND,0,8th Pass,440000,250000,190000
Inder Singh Thakur,DOON,IND,0,Post Graduate,4602329,0,4602329
Indu Bala,PALAMPUR,BJP,0,Graduate,8297494,425500,7871994
Jagat Singh Negi,KINNAUR,INC,0,Graduate Professional,30384449,2380965,28003484
Jagdish Chand,SARKAGHAT,IND,0,Post Graduate,6440000,0,6440000
Jagjiwan Paul,SULLAH,INC,0,12th Pass,9438200,3963300,5474900
Jai Chand,NAHAN,BSP,0,12th Pass,8898702,0,8898702
Jai Ram Thakur,SERAJ,BJP,0,Graduate,32799144,1819462,30979682
Janam Singh,BHARMOUR,IND,0,12th Pass,14598674,600000,13998674
Jawahar Thakur,DARANG,BJP,0,8th Pass,58912992,2500867,56412125
Jeet Ram Katwal,JHANDUTA,BJP,0,Post Graduate,17098264,853593,16244671
Jeevan Singh,KINNAUR,CPI(M),3,12th Pass,113400,0,113400
Jhabe Ram Kaushal,BANJAR,BSP,0,Post Graduate,2332000,225000,2107000
Jia Lal,BHARMOUR,BJP,2,10th Pass,8319838,0,8319838
Jit Ram,MANALI,BSP,0,12th Pass,1065000,50000,1015000
Jiwan Lal,JOGINDERNAGAR,INC,0,Post Graduate,7224105,2048000,5176105
Joginder Kumar,SUJANPUR,CPI(M),0,Graduate Professional,7545864,0,7545864
Kailash Chand,KINNAUR,BSP,0,Graduate,3769000,770000,2999000
Kamal Kant Sharma,KULLU,IND,0,Graduate Professional,179086673,0,179086673
Kamal Kishore,INDORA,INC,0,Graduate Professional,4959983,865880,4094103
Kamal Kumar,DHARAMSHALA,IND,0,Post Graduate,195000,0,195000
Kamal Pathania,HAMIRPUR,IND,0,12th Pass,32779303,12925000,19854303
Kamlesh Kumari,BHORANJ,BJP,0,10th Pass,2919207,800000,2119207
Kapoor Chand Choudhary,PALAMPUR,IND,0,Post Graduate,4535000,0,4535000
Kaul Singh,DARANG,INC,0,Graduate Professional,80384352,7733319,72651033
Kedar Singh Jindan,SHILLAI,BSP,1,Post Graduate,1165000,0,1165000
Kehar Singh,JAISINGHPUR,BSP,0,Doctorate,41500000,0,41500000
Keshav Kumar,KASAULI,Swabhiman Party,0,5th Pass,5025000,2000000,3025000
Kewal Singh,SHAHPUR,INC,0,Post Graduate,27922603,3474255,24448348
Kirnesh Jung,PAONTA SAHIB,INC,0,12th Pass,83889425,6505550,77383875
