candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region
Singhi Ram,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3385,RAMPUR,IND,1,Graduate Professional,58522035,15041674,43480361,66,SC,SHIMLA,SHIMLA REGION
Sita Ram Bhardwaj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3065,BARSAR,IND,0,12th Pass,60523951,3360600,57163351,39,GEN,HAMIRPUR,SHIVALIK REGION
Sohan Lal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3068,SUNDERNAGAR,INC,0,Post Graduate,81394949,2200000,79194949,27,GEN,MANDI,BEAS RIVER REGION
Subhash Chand Shukla,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3116,DHARAMSHALA,IND,0,Graduate,16100000,0,16100000,18,GEN,KANGRA,BEAS RIVER REGION
Subhash Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3135,GAGRET,IND,0,Graduate Professional,4156460,19700,4136760,42,GEN,UNA,BEAS RIVER REGION
Subhash Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3084,BILASPUR,BJP,1,Post Graduate,18465397,430144,18035253,48,GEN,BILASPUR,SHIVALIK REGION
Sudarshan,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3195,LAHAUL & SPITI,IND,0,Graduate Professional,950000,300000,650000,21,ST,LAHAUL & SPITI,GREATER HIMALAYAS
Sudesh Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3103,DEHRA,IND,0,12th Pass,4818000,0,4818000,10,GEN,KANGRA,BEAS RIVER REGION
Sudhir Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3117,DHARAMSHALA,INC,0,Graduate,47713829,4800858,42912971,18,GEN,KANGRA,BEAS RIVER REGION
Sujan Singh Pathania,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3124,FATEHPUR,INC,0,Graduate,191577529,881732,190695797,8,GEN,KANGRA,BEAS RIVER REGION
Sukh Ram,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3170,PAONTA SAHIB,BJP,1,12th Pass,22226492,2378131,19848361,58,GEN,SIRMOUR,SHIVALIK REGION
Sukh Ram Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3458,SRI NAINA DEVIJI,IND,0,Post Graduate,6105088,1980000,4125088,49,GEN,BILASPUR,SHIVALIK REGION
Sukhvinder Singh Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3315,NADAUN,INC,0,Post Graduate,50436952,9188778,41248174,40,GEN,HAMIRPUR,SHIVALIK REGION
Sunder Lal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3280,SERAJ,BSP,0,8th Pass,9000,0,9000,29,GEN,MANDI,BEAS RIVER REGION
Sunder Singh Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3270,KULLU,INC,0,Graduate Professional,208032031,24536547,183495484,23,GEN,KULLU,BEAS RIVER REGION
Suraj Mani,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3097,DARANG,IND,0,8th Pass,370000,0,370000,30,GEN,MANDI,BEAS RIVER REGION
Surender,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3356,PAONTA SAHIB,IND,0,8th Pass,22000,50000,-28000,58,GEN,SIRMOUR,SHIVALIK REGION
Surender Bhardwaj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3448,CHURAH,INC,0,Graduate Professional,10015000,1000000,9015000,1,SC,CHAMBA,BEAS RIVER REGION
Surender Shourie,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3058,BANJAR,BJP,1,Graduate,2995766,747510,2248256,24,GEN,KULLU,BEAS RIVER REGION
Suresh Bhardwaj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3374,SHIMLA,BJP,0,Graduate Professional,9353349,789320,8564029,63,GEN,SHIMLA,SHIMLA REGION
Suresh Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3297,BHORANJ,INC,1,Post Graduate,16077000,5500000,10577000,36,SC,HAMIRPUR,SHIVALIK REGION
Suresh Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3414,PALAMPUR,IND,0,8th Pass,156233,55000,101233,19,GEN,KANGRA,BEAS RIVER REGION
Suresh Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3335,GHUMARWIN,IND,0,12th Pass,366000,0,366000,47,GEN,BILASPUR,SHIVALIK REGION
Suresh Kumar Kashyap,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3176,PACHHAD,BJP,0,Post Graduate,11771138,6100000,5671138,55,SC,SIRMOUR,SHIVALIK REGION
Suresh Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3168,RAMPUR,BSP,0,Post Graduate,116627,0,116627,66,SC,SHIMLA,SHIMLA REGION
Surinder Singh Mankotia,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3233,JASWAN-PRAGPUR,INC,0,Post Graduate,39143084,5567992,33575092,11,GEN,KANGRA,BEAS RIVER REGION
Sushil Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3144,INDORA,BSP,0,Graduate,382049,0,382049,7,SC,KANGRA,BEAS RIVER REGION
Tejwant Singh Negi,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3389,KINNAUR,BJP,0,Graduate,59004211,577930,58426281,68,ST,KINNAUR,GREATER HIMALAYAS
Thakur Singh Bharmouri,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3217,BHARMOUR,INC,0,Graduate,65784511,1619004,64165507,2,ST,CHAMBA,BEAS RIVER REGION
Tilak Raj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3224,INDORA,IND,0,10th Pass,10581515,2402784,8178731,7,SC,KANGRA,BEAS RIVER REGION
Vijai Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3107,SHAHPUR,IND,0,Graduate,22690000,0,22690000,17,GEN,KANGRA,BEAS RIVER REGION
Vijay Jyoti,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3371,KASUMPTI,BJP,0,10th Pass,70028722,1350442,68678280,62,GEN,SHIMLA,SHIMLA REGION
Vijay Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3247,KANGRA,BSP,0,12th Pass,3776181,0,3776181,16,GEN,KANGRA,BEAS RIVER REGION
Vijay Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3203,NADAUN,BJP,0,Post Graduate,18241077,971304,17269773,40,GEN,HAMIRPUR,SHIVALIK REGION
Vijay Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3341,ARKI,Janral Samaj Party,0,Post Graduate,2360000,450000,1910000,50,GEN,SOLAN,SHIVALIK REGION
Vijay Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3056,ARKI,IND,0,8th Pass,8362522,266522,8096000,50,GEN,SOLAN,SHIVALIK REGION
Vijender Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3158,JAWALAMUKHI,IND,0,Graduate,39006580,6172076,32834504,12,GEN,KANGRA,BEAS RIVER REGION
Vikas Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3260,DHARAMSHALA,IND,0,Post Graduate,2330723,0,2330723,18,GEN,KANGRA,BEAS RIVER REGION
Vikramaditya Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3378,SHIMLA RURAL,INC,0,Post Graduate,843281014,55390000,787891014,64,GEN,SHIMLA,SHIMLA REGION
Vinay Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3352,SRI RENUKAJI,INC,0,10th Pass,33044987,8030702,25014285,57,SC,SIRMOUR,SHIVALIK REGION
Vinod Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3202,NACHAN,BJP,1,12th Pass,9174095,4411111,4762984,28,SC,MANDI,BEAS RIVER REGION
Vinod Sultanpuri,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3186,KASAULI,INC,0,Graduate Professional,40818476,322053,40496423,54,SC,SOLAN,SHIVALIK REGION
Vinod Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3312,BARSAR,Lok Gathbandhan Party,0,10th Pass,235732,616620,-380888,39,GEN,HAMIRPUR,SHIVALIK REGION
Vipan Chand,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3230,DEHRA,BSP,0,Graduate,5253758,1030000,4223758,10,GEN,KANGRA,BEAS RIVER REGION
Vipin Singh Parmar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3072,SULLAH,BJP,0,Graduate Professional,14413379,0,14413379,14,GEN,KANGRA,BEAS RIVER REGION
Viplove Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3232,DEHRA,INC,0,Post Graduate,15416380,0,15416380,10,GEN,KANGRA,BEAS RIVER REGION
Virbhadra Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3055,ARKI,INC,1,Post Graduate,305215611,62524000,242691611,50,GEN,SOLAN,SHIVALIK REGION
Virender Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3100,SHIMLA,IND,0,Graduate,2629366,795000,1834366,63,GEN,SHIMLA,SHIMLA REGION
Virender Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3142,HAROLI,BSP,0,Graduate,361455,0,361455,43,GEN,UNA,BEAS RIVER REGION
Virender Kumar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3211,NAHAN,Lok Gathbandhan Party,1,Graduate,2120000,0,2120000,56,GEN,SIRMOUR,SHIVALIK REGION
Virender Kumar Kashyap,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3348,KASAULI,CPI,0,12th Pass,247050,0,247050,54,SC,SOLAN,SHIVALIK REGION
Virender Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3220,DALHOUSIE,Rashtriya Azad Manch,1,12th Pass,9661000,3313847,6347153,4,GEN,CHAMBA,BEAS RIVER REGION
Virender Singh Kanwar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3329,KUTLEHAR,BJP,0,Graduate Professional,33821430,5923190,27898240,45,GEN,UNA,BEAS RIVER REGION
Vishal Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3076,SULLAH,IND,0,Post Graduate,5547095,618538,4928557,14,GEN,KANGRA,BEAS RIVER REGION
Vishwanath,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3210,NAHAN,CPI(M),0,Post Graduate,4650033,2400000,2250033,56,GEN,SIRMOUR,SHIVALIK REGION
Vivek Kashyap,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3167,RAMPUR,CPI(M),2,12th Pass,1522500,27000,1495500,66,SC,SHIMLA,SHIMLA REGION
Vivek Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3330,KUTLEHAR,INC,0,Graduate,13426556,5770135,7656421,45,GEN,UNA,BEAS RIVER REGION
Yadvinder Goma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3240,JAISINGHPUR,INC,0,Post Graduate,11950000,2800000,9150000,13,SC,KANGRA,BEAS RIVER REGION
