candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region
Devi Ram Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3363,THEOG,IND,0,Post Graduate,21000000,3900000,17100000,61,GEN,SHIMLA,SHIMLA REGION
Dhani Ram,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3077,BHORANJ,IND,0,Graduate,3868743,0,3868743,36,SC,HAMIRPUR,SHIVALIK REGION
Dhani Ram Shandil,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3091,SOLAN,INC,0,Doctorate,10747409,4611108,6136301,53,SC,SOLAN,SHIVALIK REGION
Dharam Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3276,SUNDERNAGAR,BSP,0,10th Pass,886357,0,886357,27,GEN,MANDI,BEAS RIVER REGION
Dhavinder Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3094,DALHOUSIE,BJP,2,10th Pass,80987490,9061961,71925529,4,GEN,CHAMBA,BEAS RIVER REGION
Dhian Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3093,DALHOUSIE,CPI,0,10th Pass,12290091,0,12290091,4,GEN,CHAMBA,BEAS RIVER REGION
Digvijay Puri,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3258,DHARAMSHALA,IND,0,Graduate,16620000,170000,16450000,18,GEN,KANGRA,BEAS RIVER REGION
Digvijay Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3449,DHARAMPUR,IND,0,Graduate Professional,32961000,252000,32709000,32,GEN,MANDI,BEAS RIVER REGION
Dile Ram Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3279,SERAJ,IND,0,12th Pass,145000,0,145000,29,GEN,MANDI,BEAS RIVER REGION
Dr. Ashok Kumar Somal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3123,FATEHPUR,IND,0,Doctorate,13357000,0,13357000,8,GEN,KANGRA,BEAS RIVER REGION
Dr. Devinder Kumar Soni,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3393,CHAMBA,IND,0,Graduate Professional,18154412,548084,17606328,3,GEN,CHAMBA,BEAS RIVER REGION
Dr. Kishori Lal Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3375,SHIMLA,Swabhiman Party,0,Doctorate,1320000,720000,600000,63,GEN,SHIMLA,SHIMLA REGION
Dr. Rajeev Bindal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3212,NAHAN,BJP,1,Graduate Professional,80963575,8098868,72864707,56,GEN,SIRMOUR,SHIVALIK REGION
Dr. Rajesh Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3251,KANGRA,IND,1,Post Graduate,748303097,13332656,734970441,16,GEN,KANGRA,BEAS RIVER REGION
Dr. Ram Lal Markanda,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3435,LAHAUL & SPITI,BJP,0,Doctorate,8773811,0,8773811,21,ST,LAHAUL & SPITI,GREATER HIMALAYAS
Dr.Subhash Chand Manglate,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3090,CHOPAL,INC,0,Doctorate,79266881,12000000,67266881,60,GEN,SHIMLA,SHIMLA REGION
Duni Chand,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3288,MANDI,IND,0,8th Pass,3150486,673000,2477486,33,GEN,MANDI,BEAS RIVER REGION
G S Bali,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3245,NAGROTA,INC,0,Not Given,449644670,171250473,278394197,15,GEN,KANGRA,BEAS RIVER REGION
Gagan Deep Prashar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3236,JASWAN-PRAGPUR,IND,1,12th Pass,2950000,1045000,1905000,11,GEN,KANGRA,BEAS RIVER REGION
