candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks,party_eci
Nand Lal,http://myneta.info/hp2012/candidate.php?candidate_id=157,BILASPUR,BSP,1,Graduate,4502237,0,4502237,48,GEN,BILASPUR,SHIVALIK REGION,false,false,false,Male,NA,NA,NA,NA,NA,NA,Bahujan Samaj Party
Nand Lal,http://myneta.info/hp2012/candidate.php?candidate_id=6,ANNI (SC),HLP,0,Graduate,342379,166685,175694,25,SC,KULLU,BEAS RIVER REGION,false,true,false,Male,NA,NA,NA,NA,NA,NA,Himachal Lokhit Party
Nand Lal,http://myneta.info/hp2012/candidate.php?candidate_id=376,RAMPUR (SC),INC,0,Post Graduate,9454454,2155381,7299073,66,SC,SHIMLA,SHIMLA REGION,true,true,false,Male,http://myneta.info/hp2012/index.php?action=affidavitComparison&myneta_folder2=him2007&id1=376&id2=83,9454454,2256373,7198081,319%,NA,Indian National Congress
Nand Lal,http://myneta.info/hp2012/candidate.php?candidate_id=137,SHAHPUR,IND,0,Post Graduate,36572192,0,36572192,17,GEN,KANGRA,BEAS RIVER REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Narayan Singh,http://myneta.info/hp2012/candidate.php?candidate_id=25,BANJAR,CPM,0,10th Pass,491212,0,491212,24,GEN,KULLU,BEAS RIVER REGION,false,false,false,Male,NA,NA,NA,NA,NA,NA,Communist Party of India (Marxist)
Naresh  Pal Singh,http://myneta.info/hp2012/candidate.php?candidate_id=4,DHARAMSHALA,IND,0,12th Pass,11234267,0,11234267,18,GEN,KANGRA,BEAS RIVER REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Narinder Bragta,http://myneta.info/hp2012/candidate.php?candidate_id=300,JUBBAL -KOTKHAI,BJP,0,Post Graduate,18542418,2000000,16542418,65,GEN,SHIMLA,SHIMLA REGION,true,true,false,Male,http://myneta.info/hp2012/index.php?action=affidavitComparison&myneta_folder2=him2007&id1=300&id2=59,18542418,9441736,9100682,96%,NA,Bharatiya Janata Party
Narinder Singh Jamwal,http://myneta.info/hp2012/candidate.php?candidate_id=511,PALAMPUR,IND,0,Graduate Professional,216776873,1400000,215376873,19,GEN,KANGRA,BEAS RIVER REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Narinder Singh Parmar,http://myneta.info/hp2012/candidate.php?candidate_id=581,GAGRET,HLP,2,Graduate Professional,2943000,450000,2493000,42,GEN,UNA,BEAS RIVER REGION,true,true,true,Male,NA,NA,NA,NA,NA,NA,Himachal Lokhit Party
Narinder Singh Pathania,http://myneta.info/hp2012/candidate.php?candidate_id=571,NURPUR,HiSP,0,Graduate Professional,5770000,0,5770000,6,GEN,KANGRA,BEAS RIVER REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Himachal Swabhiman Party
Narinder Thakur,http://myneta.info/hp2012/candidate.php?candidate_id=484,HAMIRPUR,INC,0,Post Graduate,12412000,500000,11912000,38,GEN,HAMIRPUR,SHIVALIK REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Indian National Congress
Nathu Ram,http://myneta.info/hp2012/candidate.php?candidate_id=279,SHILLAI,BSP,0,8th Pass,2510500,0,2510500,59,GEN,SIRMOUR,SHIVALIK REGION,false,false,false,Male,NA,NA,NA,NA,NA,NA,Bahujan Samaj Party
Naveen Dhiman,http://myneta.info/hp2012/candidate.php?candidate_id=2,JASWAN-PRAGPUR,HLP,0,Graduate,2820639,950000,1870639,11,GEN,KANGRA,BEAS RIVER REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Himachal Lokhit Party
Naveen Singh,http://myneta.info/hp2012/candidate.php?candidate_id=487,HAMIRPUR,SP,0,12th Pass,130000,0,130000,38,GEN,HAMIRPUR,SHIVALIK REGION,false,true,false,Male,NA,NA,NA,NA,NA,NA,Samajwadi Party
Neeraj Bharti,http://myneta.info/hp2012/candidate.php?candidate_id=59,JAWALI,INC,1,Graduate Professional,11940671,2353709,9586962,9,GEN,KANGRA,BEAS RIVER REGION,true,true,false,Male,http://myneta.info/hp2012/index.php?action=affidavitComparison&myneta_folder2=him2007&id1=59&id2=47,11940671,4203641,7737030,184%,NA,Indian National Congress
Netar Singh,http://myneta.info/hp2012/candidate.php?candidate_id=315,BALH (SC),HLP,0,Post Graduate,9575318,40000,9535318,34,SC,MANDI,BEAS RIVER REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Himachal Lokhit Party
Niju Ram,http://myneta.info/hp2012/candidate.php?candidate_id=42,RAMPUR (SC),HLP,0,10th Pass,5808849,310416,5498433,66,SC,SHIMLA,SHIMLA REGION,false,false,false,Male,NA,NA,NA,NA,NA,NA,Himachal Lokhit Party
Nikhil Rajour,http://myneta.info/hp2012/candidate.php?candidate_id=61,JASWAN-PRAGPUR,INC,0,10th Pass,5632051,1486354,4145697,11,GEN,KANGRA,BEAS RIVER REGION,true,true,false,Male,http://myneta.info/hp2012/index.php?action=affidavitComparison&myneta_folder2=him2007&id1=61&id2=51,5632051,2260000,3372051,149%,PAN was missing last time,Indian National Congress
Noordeen Noorani,http://myneta.info/hp2012/candidate.php?candidate_id=14,CHAMBA,BSP,0,10th Pass,330500,1000000,-669500,3,GEN,CHAMBA,BEAS RIVER REGION,false,false,false,Male,NA,NA,NA,NA,NA,NA,Bahujan Samaj Party
Om Prakash,http://myneta.info/hp2012/candidate.php?candidate_id=471,BAIJNATH (SC),HiSP,0,Not Given,2000,150000,-148000,20,SC,KANGRA,BEAS RIVER REGION,false,true,false,Male,NA,NA,NA,NA,NA,NA,Himachal Swabhiman Party
Om Prakash,http://myneta.info/hp2012/candidate.php?candidate_id=423,JASWAN-PRAGPUR,IND,0,8th Pass,683000,326000,357000,11,GEN,KANGRA,BEAS RIVER REGION,false,false,false,Male,NA,NA,NA,NA,NA,NA,Independent
