candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender
Battu Ramchandraiah,http://myneta.info/ap09/candidate.php?candidate_id=519,BHONGIR,BSP,0,Graduate,246500,0,246500,94,GEN,NALGONDA,TELANGANA,,FALSE,FALSE,Male
Bavirisetti Manikyalarao,http://myneta.info/ap09/candidate.php?candidate_id=1173,PAYAKARAOPET (SC),BSP,0,8th Pass,50000,53000,-3000,152,SC,VISHAKAPATNAM,COASTAL ANDHRA,,FALSE,FALSE,Male
Beesamalla Yousef,http://myneta.info/ap09/candidate.php?candidate_id=385,ACHAMPET (SC),BSP,0,5th Pass,10000,0,10000,82,SC,MAHABUBNAGAR,TELANGANA,,FALSE,FALSE,Male
Bhupathi apparao,http://myneta.info/ap09/candidate.php?candidate_id=809,RAJAM (SC),BSP,0,10th Pass,226000,400,225600,128,SC,SRIKAKULAM,COASTAL ANDHRA,,FALSE,FALSE,Male
Biddika Appanna,http://myneta.info/ap09/candidate.php?candidate_id=816,PALAKONDA (ST),BSP,0,10th Pass,1001000,0,1001000,129,ST,SRIKAKULAM,COASTAL ANDHRA,,FALSE,FALSE,Male
Bochu Saraiah,http://myneta.info/ap09/candidate.php?candidate_id=630,PARKAL,BSP,0,10th Pass,188000,0,188000,104,GEN,WARANGAL,TELANGANA,,FALSE,FALSE,Male
Bonga Bhanu Murthy,http://myneta.info/ap09/candidate.php?candidate_id=1653,GAJAPATHINAGARAM,BSP,0,Post Graduate,25000,0,25000,135,GEN,VIZIANAGARAM,COASTAL ANDHRA,,FALSE,FALSE,Male
Burga Ramaiah,http://myneta.info/ap09/candidate.php?candidate_id=2471,ADDANKI,BSP,0,12th Pass,75000,0,75000,224,GEN,PRAKASAM,COASTAL ANDHRA,,FALSE,FALSE,Male
Byreddy Appala Naidu,http://myneta.info/ap09/candidate.php?candidate_id=1643,CHEEPURUPALLE,BSP,0,12th Pass,1320000,0,1320000,134,GEN,VIZIANAGARAM,COASTAL ANDHRA,,FALSE,FALSE,Male
C Prasad Gandhi,http://myneta.info/ap09/candidate.php?candidate_id=1094,GAJUWAKA,BSP,0,Not Given,50000,0,50000,144,GEN,VISHAKAPATNAM,COASTAL ANDHRA,,FALSE,FALSE,Male
Chagam Kesava Reddy,http://myneta.info/ap09/candidate.php?candidate_id=1969,TADPATRI,BSP,0,10th Pass,80000,0,80000,270,GEN,ANANTAPUR,RAYALA SEEMA,,FALSE,FALSE,Male
Chedipali Kashaiah,http://myneta.info/ap09/candidate.php?candidate_id=529,NAKREKAL (SC),BSP,0,12th Pass,32000,0,32000,95,SC,NALGONDA,TELANGANA,,FALSE,FALSE,Male
Cheekati Charlesh,http://myneta.info/ap09/candidate.php?candidate_id=2285,RAJAMPET,BSP,0,Graduate,105000,0,105000,244,GEN,KADAPA,RAYALA SEEMA,,FALSE,FALSE,Male
Chennupalli Ramakrishnaiah,http://myneta.info/ap09/candidate.php?candidate_id=1847,ATMAKUR,BSP,0,Graduate,62000,0,62000,234,GEN,NELLORE,COASTAL ANDHRA,,FALSE,FALSE,Male
Chetharaju Venkateshwarlu,http://myneta.info/ap09/candidate.php?candidate_id=472,SURYAPET,BSP,0,Literate,1136400,40000,1096400,91,GEN,NALGONDA,TELANGANA,,FALSE,FALSE,Male
Chintapalli Chandaram,http://myneta.info/ap09/candidate.php?candidate_id=2796,RAJANAGARAM,BSP,0,Not Given,323000,0,323000,168,GEN,EAST GODAVARI,COASTAL ANDHRA,,FALSE,FALSE,Male
Chintha Suvartha,http://myneta.info/ap09/candidate.php?candidate_id=586,GHANPUR (STATION) (SC),BSP,0,Graduate Professional,8680000,200000,8480000,99,SC,WARANGAL,TELANGANA,,FALSE,FALSE,Male
D. A. Nagaraju,http://myneta.info/ap09/candidate.php?candidate_id=2252,CHITTOOR,BSP,0,Literate,154000,1900,152100,291,GEN,CHITTOOR,RAYALA SEEMA,,FALSE,FALSE,Male
D. Indeevar,http://myneta.info/ap09/candidate.php?candidate_id=2042,MADAKASIRA (SC),BSP,0,Graduate,0,0,0,275,SC,ANANTAPUR,RAYALA SEEMA,,FALSE,FALSE,Male
D.Kali,http://myneta.info/ap09/candidate.php?candidate_id=2652,KAKINADA RURAL,BSP,0,Post Graduate,2541340,0,2541340,157,GEN,EAST GODAVARI,COASTAL ANDHRA,,FALSE,FALSE,Male
Dara Sambaiah,http://myneta.info/ap09/candidate.php?candidate_id=2511,ONGOLE,BSP,0,Post Graduate,8330000,69642,8260358,227,GEN,PRAKASAM,COASTAL ANDHRA,,FALSE,FALSE,Male
Daram Sambasiva Rao,http://myneta.info/ap09/candidate.php?candidate_id=2902,REPALLE,BSP,0,Graduate,150126,0,150126,209,GEN,GUNTUR,COASTAL ANDHRA,,FALSE,FALSE,Male
Darnasi Peddaiah,http://myneta.info/ap09/candidate.php?candidate_id=2443,DARSI,BSP,0,Not Given,0,0,0,222,GEN,PRAKASAM,COASTAL ANDHRA,,FALSE,FALSE,Male
