candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Sunstar.D. Jairam,http://myneta.info/karnataka2013/candidate.php?candidate_id=1348,PULAKESHINAGAR,IND,0,12th Pass,30000,0,30000,159,SC,BANGALORE,BANGALORE DIVISION,false,false,false,Male,,,,,,
Supreeth Kumar Poojary,http://myneta.info/karnataka2013/candidate.php?candidate_id=2027,MANGALORE CITY NORTH,NCP,0,12th Pass,1276000,142250,1133750,202,GEN,DAKSHINA KANNADA,MYSORE DIVISION,true,true,false,Male,,,,,,
Suraj Naik Soni,http://myneta.info/karnataka2013/candidate.php?candidate_id=924,KUMTA,BJP,0,Graduate,13205000,8822010,4382990,78,GEN,UTTARA KANNADA,BELGAUM DIVISION,true,true,false,Male,,,,,,
Surendra B.P.,http://myneta.info/karnataka2013/candidate.php?candidate_id=2603,T. NARASIPUR,IND,0,Graduate,272500,0,272500,220,SC,MYSORE,MYSORE DIVISION,true,true,false,Male,,,,,,
Surendra Pradhanji  Talwalkar,http://myneta.info/karnataka2013/candidate.php?candidate_id=1600,KAGWAD,NCP,0,10th Pass,601000,0,601000,4,GEN,BELGAUM,BELGAUM DIVISION,false,false,false,Male,,,,,,
Suresh,http://myneta.info/karnataka2013/candidate.php?candidate_id=2810,BHADRAVATHI,BSP,1,Graduate Professional,320000,150000,170000,112,GEN,SHIMOGA,BANGALORE DIVISION,false,true,true,Male,,,,,,
Suresh,http://myneta.info/karnataka2013/candidate.php?candidate_id=796,GUNDLUPET,BSRC,0,Graduate,3750000,0,3750000,224,GEN,CHAMARAJANAGAR,MYSORE DIVISION,false,false,false,Male,,,,,,
Suresh  Shivarudrappa  Marihal,http://myneta.info/karnataka2013/candidate.php?candidate_id=61,KITTUR,BJP,0,10th Pass,15760032,1102785,14657247,15,GEN,BELGAUM,BELGAUM DIVISION,false,false,false,Male,http://myneta.info/karnataka2013/index.php?action=affidavitComparison&myneta_folder2=karnatka2008&id1=61&id2=319,15760032,3451008,12309024,357%,
Suresh D.S,http://myneta.info/karnataka2013/candidate.php?candidate_id=312,TARIKERE,KJP,0,Graduate,15682650,0,15682650,126,GEN,CHICKMAGALUR,MYSORE DIVISION,false,true,false,Male,http://myneta.info/karnataka2013/index.php?action=affidavitComparison&myneta_folder2=karnatka2008&id1=312&id2=1248,15682650,9920965,5761685,58%,Party in last election was BJP
Suresh Gowdaa,http://myneta.info/karnataka2013/candidate.php?candidate_id=557,NAGAMANGALA,INC,1,Graduate Professional,181057958,17151443,163906515,191,GEN,MANDYA,MYSORE DIVISION,true,true,false,Male,http://myneta.info/karnataka2013/index.php?action=affidavitComparison&myneta_folder2=karnatka2008&id1=557&id2=1610,181057958,30181148,150876810,500%,PAN is Different
Suresh Kallappa  Manavaddar,http://myneta.info/karnataka2013/candidate.php?candidate_id=1584,HUKKERI,NPP,0,10th Pass,2060000,1500000,560000,7,GEN,BELGAUM,BELGAUM DIVISION,false,true,false,Male,,,,,,
Suresh Kumar,http://myneta.info/karnataka2013/candidate.php?candidate_id=1858,KOLLEGAL,IND,0,Not Given,200000,0,200000,222,SC,CHAMARAJANAGAR,MYSORE DIVISION,false,false,false,Male,,,,,,
Suresh Maharudrappa Mundaragi,http://myneta.info/karnataka2013/candidate.php?candidate_id=2222,NARGUND,IND,0,10th Pass,860000,0,860000,68,GEN,GADAG,BELGAUM DIVISION,false,false,false,Male,,,,,,
Suresh Veerabhadrappa Katagi,http://myneta.info/karnataka2013/candidate.php?candidate_id=2189,HUBLI-DHARWAD-WEST,IND,0,5th Pass,1225000,0,1225000,74,GEN,DHARWAD,BELGAUM DIVISION,false,true,false,Male,,,,,,
Suresh Vittairao Desai,http://myneta.info/karnataka2013/candidate.php?candidate_id=1551,KHANAPUR,IND,0,12th Pass,5335400,395000,4940400,14,GEN,BELGAUM,BELGAUM DIVISION,true,true,false,Male,,,,,,
Suresha A,http://myneta.info/karnataka2013/candidate.php?candidate_id=1943,TARIKERE,IND,0,10th Pass,1117600,500000,617600,126,GEN,CHICKMAGALUR,MYSORE DIVISION,false,true,false,Male,,,,,,
Suresha. C,http://myneta.info/karnataka2013/candidate.php?candidate_id=2786,SAGAR,IND,0,Graduate Professional,449500,0,449500,117,GEN,SHIMOGA,BANGALORE DIVISION,false,true,false,Male,,,,,,
Sureshagouda.  Mudigoudappagouda Patil,http://myneta.info/karnataka2013/candidate.php?candidate_id=1783,DEVARA HIPPARGI,IND,0,8th Pass,2870000,395669,2474331,27,GEN,BIJAPUR,BELGAUM DIVISION,false,true,false,Male,,,,,,
Susheela Devraj,http://myneta.info/karnataka2013/candidate.php?candidate_id=615,PULAKESHINAGAR,KJP,0,12th Pass,2362000,0,2362000,159,SC,BANGALORE,BANGALORE DIVISION,false,false,false,Female,,,,,,
Susheelamma R. Mudukappa Nayak,http://myneta.info/karnataka2013/candidate.php?candidate_id=2735,MANVI,JD(U),1,5th Pass,8957500,1175000,7782500,55,ST,RAICHUR,GULBARGA REGION,false,false,false,Female,,,,,,
Suvarna,http://myneta.info/karnataka2013/candidate.php?candidate_id=2773,CHANNAPATNA,IND,0,8th Pass,2041000,60000,1981000,185,GEN,RAMANAGARA,BANGALORE DIVISION,false,false,false,Female,,,,,,
Swamy,http://myneta.info/karnataka2013/candidate.php?candidate_id=2690,RAICHUR RURAL,NPP,0,10th Pass,265000,0,265000,53,ST,RAICHUR,GULBARGA REGION,false,false,false,Male,,,,,,
Syad Usman Pasha,http://myneta.info/karnataka2013/candidate.php?candidate_id=2276,GULBARGA DAKSHIN,IND,0,10th Pass,7311000,2000000,5311000,44,GEN,GULBARGA,GULBARGA REGION,false,true,false,Male,,,,,,
Syed Abul Khasim,http://myneta.info/karnataka2013/candidate.php?candidate_id=1885,GAURIBIDANUR,IND,0,5th Pass,15600,0,15600,139,GEN,CHIKBALLAPUR,BANGALORE DIVISION,false,false,false,Male,,,,,,
Syed Ansar,http://myneta.info/karnataka2013/candidate.php?candidate_id=1204,PADMANABANAGAR,IND,0,Not Given,13410000,0,13410000,171,GEN,BANGALORE,BANGALORE DIVISION,false,true,false,Male,,,,,,
Syed Anwar (Peeran),http://myneta.info/karnataka2013/candidate.php?candidate_id=1717,BASAVAKALYAN,IND,0,Post Graduate,1225000,0,1225000,47,GEN,BIDAR,GULBARGA REGION,false,false,false,Male,,,,,,
Syed Aslam,http://myneta.info/karnataka2013/candidate.php?candidate_id=1291,SHANTINAGAR,IND,0,5th Pass,215000,0,215000,163,GEN,BANGALORE,BANGALORE DIVISION,false,false,false,Male,,,,,,
Syed Aslam,http://myneta.info/karnataka2013/candidate.php?candidate_id=1208,CHAMRAJAPET,NPP,0,10th Pass,1125000,0,1125000,168,GEN,BANGALORE,BANGALORE DIVISION,false,true,false,Male,,,,,,
Syed Farooq,http://myneta.info/karnataka2013/candidate.php?candidate_id=1195,VIJAYANAGAR,IND,0,10th Pass,106000,0,106000,167,GEN,BANGALORE,BANGALORE DIVISION,false,true,false,Male,,,,,,
Syed Gouse,http://myneta.info/karnataka2013/candidate.php?candidate_id=1710,BASAVAKALYAN,IND,0,Post Graduate,1225000,0,1225000,47,GEN,BIDAR,GULBARGA REGION,false,false,false,Male,,,,,,
