candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Lichi Legi,http://myneta.info/an2009/candidate.php?candidate_id=27,Itanagar,BJP,0,Literate,222658091,0,222658091,13,ST,NA,NA,,true,false,Male,,,,,,
Lokam Tassar,http://myneta.info/an2009/candidate.php?candidate_id=51,Koloriang,INC,0,10th Pass,5257000,46331828,-41074828,21,ST,NA,NA,,false,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=51&id2=50,5257000,5977530,-720530,-12%,Age Difference=-6  Party in last election was IND
Lombo Tayeng,http://myneta.info/an2009/candidate.php?candidate_id=100,Mebo,INC,0,10th Pass,20235000,0,20235000,39,ST,NA,NA,,false,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=100&id2=100,20235000,7000000,13235000,189%,
Lompak Paksok,http://myneta.info/an2009/candidate.php?candidate_id=65,Dumporijo,BJP,0,Graduate Professional,40000,0,40000,26,ST,NA,NA,,false,false,Male,,,,,,
Maji Marging,http://myneta.info/an2009/candidate.php?candidate_id=57,Daporijo,NCP,0,Graduate,4230000,0,4230000,24,ST,NA,NA,,false,false,Male,,,,,,
Nabam Rebia,http://myneta.info/an2009/candidate.php?candidate_id=31,Doimukh,INC,0,Graduate Professional,240512814,2943400,237569414,14,ST,NA,NA,,true,false,Male,,,,,,
Nabam Tuki,http://myneta.info/an2009/candidate.php?candidate_id=34,Sagalee,INC,0,10th Pass,64909561,0,64909561,15,ST,NA,NA,,true,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=34&id2=35,64909561,41425863,23483698,57%,PAN was missing last time
Nakul Chai,http://myneta.info/an2009/candidate.php?candidate_id=113,Tezu,AITC,0,12th Pass,8378905,0,8378905,44,ST,NA,NA,,false,false,Male,,,,,,
Nang Sati Mein,http://myneta.info/an2009/candidate.php?candidate_id=123,Namsai,IND,0,Graduate,187419184,0,187419184,47,ST,NA,NA,,false,false,Female,,,,,,
Nani Ribia,http://myneta.info/an2009/candidate.php?candidate_id=42,Ziro Hapoli,AITC,0,Graduate,2430000,0,2430000,17,ST,NA,NA,,false,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=42&id2=40,2430000,12940000,-10510000,-81%,Party in last election was IND
Naresh Glow,http://myneta.info/an2009/candidate.php?candidate_id=11,THRIZINO_BURAGAON,INC,0,10th Pass,26110492,0,26110492,6,ST,NA,NA,,false,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=11&id2=11,26110492,6996427,19114065,273%,
Newlai Tingkhatra,http://myneta.info/an2009/candidate.php?candidate_id=154,Kanubari,INC,0,Graduate,5009062,4019886,989176,58,ST,NA,NA,,true,false,Male,,,,,,
