candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_remarks
BINANDA KUMAR SAIKIA,http://myneta.info/assam2006/candidate.php?candidate_id=41,Sipajhar,INC,0,Post Graduate,946692,0,946692,66,GEN,NA,NA,,false,false,Male,,,,,
BINOD GOWALA.,http://myneta.info/assam2006/candidate.php?candidate_id=89,Sarupathar,AGP,0,Graduate,1675132,87360,1587772,94,GEN,NA,NA,,true,false,Male,,,,,
BISWARUP BHATTACHARJEE,http://myneta.info/assam2006/candidate.php?candidate_id=150,Badarpur,BJP,0,Graduate,90000,0,90000,5,GEN,NA,NA,,false,false,Male,,,,,
BITHIKA DEV,http://myneta.info/assam2006/candidate.php?candidate_id=25,Silchar,INC,0,12th Pass,58363590,0,58363590,9,GEN,NA,NA,,true,false,Female,,,,,
BIZIT SAIKIA,http://myneta.info/assam2006/candidate.php?candidate_id=226,Tezpur,INC,0,12th Pass,2088459,0,2088459,73,GEN,NA,NA,,true,false,Male,,,,,
BOLIN CHETIA,http://myneta.info/assam2006/candidate.php?candidate_id=245,Sadiya,INC,0,12th Pass,1267950,302000,965950,126,GEN,NA,NA,,true,false,Male,,,,,
BRINDABAN GOSWAMI,http://myneta.info/assam2006/candidate.php?candidate_id=224,Barchalla,AGP,0,Not Given,269618,0,269618,72,GEN,NA,NA,,true,false,Male,,,,,
BRINDABAN GOSWAMI,http://myneta.info/assam2006/candidate.php?candidate_id=225,Tezpur,AGP,0,Graduate,723618,0,723618,73,GEN,NA,NA,,true,false,Male,,,,,
CAPTAIN ROBIN BORDOLOI,http://myneta.info/assam2006/candidate.php?candidate_id=129,Gauhati East,INC,0,Graduate,2759500,0,2759500,53,GEN,NA,NA,,true,false,Male,,,,,
CHANDAN BRAHMA,http://myneta.info/assam2006/candidate.php?candidate_id=157,Sidli,IND,0,Graduate,1477497,0,1477497,31,ST,NA,NA,,true,false,Male,,,,,
CHANDI BASUMATARY,http://myneta.info/assam2006/candidate.php?candidate_id=197,Tamulpur,IND,0,Graduate,697865,0,697865,58,GEN,NA,NA,,false,false,Male,,,,,
CHANDRA MOHAN PATOWARY,http://myneta.info/assam2006/candidate.php?candidate_id=203,Dharmapur,AGP,0,Post Graduate,3717200,0,3717200,61,GEN,NA,NA,,true,false,Male,,,,,
CHITRALEKHA PHUKAN,http://myneta.info/assam2006/candidate.php?candidate_id=186,Barhampur,INC,0,10th Pass,2276127,0,2276127,87,GEN,NA,NA,,true,false,Female,,,,,
DEBEN DAIMARY,http://myneta.info/assam2006/candidate.php?candidate_id=79,Dudhnai,INC,0,12th Pass,2930795,0,2930795,36,ST,NA,NA,,true,false,Male,,,,,
DIGANTA RABHA,http://myneta.info/assam2006/candidate.php?candidate_id=80,Dudhnai,AGP,0,Graduate,792835,87363,705472,36,ST,NA,NA,,false,false,Male,,,,,
DILDAR REZZA,http://myneta.info/assam2006/candidate.php?candidate_id=11,Baghbar,INC,0,10th Pass,1504272,365765,1138507,45,GEN,NA,NA,,true,false,Male,,,,,
DINESH CHANDRA SARKER,http://myneta.info/assam2006/candidate.php?candidate_id=60,Golakganj,BJP,0,Graduate,267593,575875,-308282,25,GEN,NA,NA,,false,false,Male,,,,,
DINESH PRASAD GOALA,http://myneta.info/assam2006/candidate.php?candidate_id=33,Lakhipur,INC,0,Post Graduate,7799495,2252288,5547207,13,GEN,NA,NA,,true,false,Male,,,,,
DR. ADITYA  LANGTHASA,http://myneta.info/assam2006/candidate.php?candidate_id=177,Hojai,AUDF,0,Post Graduate,989696,300000,689696,91,GEN,NA,NA,,true,false,Male,,,,,
DR. ANANDA RAM BARUAH,http://myneta.info/assam2006/candidate.php?candidate_id=176,Raha,INC,0,Graduate,453430,0,453430,82,SC,NA,NA,,true,false,Male,,,,,
DR. DURLAV CHANDRA CHAMUA,http://myneta.info/assam2006/candidate.php?candidate_id=188,Nowgong,INC,0,Graduate Professional,2182432,0,2182432,86,GEN,NA,NA,,true,false,Male,,,,,
DR. HEMO PRAVA SAIKIA,http://myneta.info/assam2006/candidate.php?candidate_id=212,Nazira,INC,0,Doctorate,2884650,208388,2676262,104,GEN,NA,NA,,true,false,Female,,,,,
DR. IDRIS ALI,http://myneta.info/assam2006/candidate.php?candidate_id=194,Dhing,INC,0,Doctorate,4063644,0,4063644,83,GEN,NA,NA,,true,false,Male,,,,,
DR. KALYAN KUMAR GOGOI,http://myneta.info/assam2006/candidate.php?candidate_id=68,Dibrugarh,INC,0,Graduate Professional,15800319,472500,15327819,116,GEN,NA,NA,,true,false,Male,,,,,
DR. KAMALA KANTA KALITA,http://myneta.info/assam2006/candidate.php?candidate_id=115,Chaygaon,AGP,0,Graduate Professional,12393204,230455,12162749,49,GEN,NA,NA,,true,false,Male,,,,,
DR. MANORANJAN DAS,http://myneta.info/assam2006/candidate.php?candidate_id=3,Bhabanipur,AGP,0,Doctorate,255172,365274,-110102,41,GEN,NA,NA,,true,false,Male,,,,,
DR. MOTIUR ROHMAN MONDAL,http://myneta.info/assam2006/candidate.php?candidate_id=51,Mankachar,IND,0,Graduate Professional,2177574,200000,1977574,21,GEN,NA,NA,,false,false,Male,,,,,
DR. NAZRUL ISLAM,http://myneta.info/assam2006/candidate.php?candidate_id=171,Laharighat,INC,0,Graduate Professional,12159770,3617297,8542473,81,GEN,NA,NA,,true,false,Male,,,,,
DR.BHUMIDHAR BARMAN,http://myneta.info/assam2006/candidate.php?candidate_id=201,Barkhetry,INC,0,Graduate Professional,7924818,156250,7768568,60,GEN,NA,NA,,true,false,Male,,,,,
DR.MALAYA BORMAN,http://myneta.info/assam2006/candidate.php?candidate_id=5,Patacharkuchi,INC,0,Doctorate,5830000,0,5830000,42,GEN,NA,NA,,true,false,Female,,,,,
DR.MANSING RONGPI,http://myneta.info/assam2006/candidate.php?candidate_id=139,Baithalangso,INC,0,Graduate,1713000,0,1713000,20,ST,NA,NA,,false,false,Male,,,,,
DRUPAD BORGOHAIN,http://myneta.info/assam2006/candidate.php?candidate_id=211,Nazira,CPI,0,Graduate,482162,0,482162,104,GEN,NA,NA,,true,false,Male,,,,,
DULAL CHANDRA GHOSH,http://myneta.info/assam2006/candidate.php?candidate_id=81,Goalpara East,NCP,0,Graduate,521464,0,521464,37,GEN,NA,NA,,false,false,Male,,,,,
EKRAMUL MAZID,http://myneta.info/assam2006/candidate.php?candidate_id=190,Rupohihat,AUDF,0,Post Graduate,105000,0,105000,85,GEN,NA,NA,,false,false,Male,,,,,
ETUWA MUNDA,http://myneta.info/assam2006/candidate.php?candidate_id=74,Tingkhong,INC,0,Graduate,1227753,0,1227753,119,GEN,NA,NA,,true,false,Male,,,,,
GAJENDRA BARMAN,http://myneta.info/assam2006/candidate.php?candidate_id=20,Bijni,CPM,0,Post Graduate,69992,0,69992,33,GEN,NA,NA,,false,false,Male,,,,,
GANESH KUTUM,http://myneta.info/assam2006/candidate.php?candidate_id=236,Gohpur,Asom Gana Parishad Pragtisheel,0,Post Graduate,6984835,601448,6383387,78,GEN,NA,NA,,false,false,Male,,,,,
GAUTAM BORA,http://myneta.info/assam2006/candidate.php?candidate_id=191,Batadroba,INC,0,Graduate,3658187,0,3658187,84,GEN,NA,NA,,true,false,Male,,,,,
GAUTAM ROY,http://myneta.info/assam2006/candidate.php?candidate_id=97,Katlicherra,INC,0,Graduate,3779810,0,3779810,7,GEN,NA,NA,,true,false,Male,,,,,
GHANA BURAGOHAIN,http://myneta.info/assam2006/candidate.php?candidate_id=163,Lakhimpur,INC,0,Graduate,2703809,0,2703809,111,GEN,NA,NA,,false,false,Male,,,,,
GIRINDRA KUMAR BORUAH,http://myneta.info/assam2006/candidate.php?candidate_id=187,Nowgong,AGP,0,Post Graduate,2540012,166720,2373292,86,GEN,NA,NA,,true,false,Male,,,,,
GIRISH BARUAH,http://myneta.info/assam2006/candidate.php?candidate_id=18,Bongaigaon,INC,0,10th Pass,50205,0,50205,32,GEN,NA,NA,,false,false,Male,,,,,
GOBINDA CH. LANGTHASA,http://myneta.info/assam2006/candidate.php?candidate_id=173,Haflong,INC,0,10th Pass,3009712,0,3009712,16,ST,NA,NA,,false,false,Male,,,,,
GOPI NATH DAS,http://myneta.info/assam2006/candidate.php?candidate_id=114,Boko,INC,0,Graduate,1625211,0,1625211,48,SC,NA,NA,,true,false,Male,,,,,
GUNESWAR DAS,http://myneta.info/assam2006/candidate.php?candidate_id=175,Raha,AUDF,0,10th Pass,338304,158400,179904,82,SC,NA,NA,,false,false,Male,,,,,
GUNINDRA NATH DAS,http://myneta.info/assam2006/candidate.php?candidate_id=7,Barpeta,AGP,0,Graduate,3135600,1220437,1915163,43,GEN,NA,NA,,true,false,Male,,,,,
HAFIZ BASHIR AHMED,http://myneta.info/assam2006/candidate.php?candidate_id=61,Bilasipara West,AUDF,0,Post Graduate,1200526,0,1200526,26,GEN,NA,NA,,true,false,Male,,,,,
HAREN DAS,http://myneta.info/assam2006/candidate.php?candidate_id=120,Hajo,INC,0,Doctorate,3606947,617286,2989661,55,GEN,NA,NA,,true,false,Male,,,,,
HAZI SALIM UDDIN BARBHUIYA,http://myneta.info/assam2006/candidate.php?candidate_id=95,Hailakandi,AUDF,1,10th Pass,435540,0,435540,6,GEN,NA,NA,,false,true,Male,,,,,
HEMENDRA NATH BRAHMA,http://myneta.info/assam2006/candidate.php?candidate_id=154,Kokrajhar West,IND,0,Post Graduate,440000,0,440000,29,ST,NA,NA,,false,false,Male,,,,,
HIDDHINATH RONGPI,http://myneta.info/assam2006/candidate.php?candidate_id=134,Bokajan,INC,0,Graduate,1475000,0,1475000,17,ST,NA,NA,,true,false,Male,,,,,
HIMANTA BISWA SARMA,http://myneta.info/assam2006/candidate.php?candidate_id=125,Jalukbari,INC,0,Post Graduate,10230923,696854,9534069,51,GEN,NA,NA,,true,false,Male,,,,,
HIRANYA KUMAR KONWAR,http://myneta.info/assam2006/candidate.php?candidate_id=214,Mahmara,AGP,0,Post Graduate,471673,678606,-206933,105,GEN,NA,NA,,true,false,Male,,,,,
