candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Akkala Venkata Ramana Reddy,http://myneta.info/andhra2014/candidate.php?candidate_id=4323,PARCHUR,IND,0,8th Pass,121000,0,121000,223,GEN,PRAKASAM,COASTAL ANDHRA,FALSE,FALSE,FALSE,Male,,,,,,
Akkaladevi Venkateswarlu,http://myneta.info/andhra2014/candidate.php?candidate_id=3318,KODUMUR,IND,0,12th Pass,506000,0,506000,262,SC,KURNOOL,RAYALA SEEMA,FALSE,FALSE,FALSE,Male,,,,,,
Akkidasari Chandra Mohan,http://myneta.info/andhra2014/candidate.php?candidate_id=2500,RAJAMPET,LJP,0,8th Pass,545000,255000,290000,244,GEN,KADAPA,RAYALA SEEMA,FALSE,TRUE,FALSE,Male,,,,,,
Akkina Venkata Raju,http://myneta.info/andhra2014/candidate.php?candidate_id=3205,RAJAHMUNDRY CITY,IND,0,Illiterate,50000,0,50000,169,GEN,EAST GODAVARI,COASTAL ANDHRA,FALSE,TRUE,FALSE,Male,,,,,,
Akula Rama Krishna.,http://myneta.info/andhra2014/candidate.php?candidate_id=4142,KOTHAPETA,INC,0,Graduate,28004172,10469304,17534868,166,GEN,EAST GODAVARI,COASTAL ANDHRA,TRUE,TRUE,FALSE,Male,,,,,,
Akula Satyanarayana,http://myneta.info/andhra2014/candidate.php?candidate_id=3193,RAJAHMUNDRY CITY,BJP,0,Post Graduate,270184282,106085617,164098665,169,GEN,EAST GODAVARI,COASTAL ANDHRA,TRUE,TRUE,FALSE,Male,,,,,,
Akula Srinivas Kumar,http://myneta.info/andhra2014/candidate.php?candidate_id=3922,VIJAYAWADA WEST,INC,0,Graduate,44627601,4770986,39856615,198,GEN,KRISHNA,COASTAL ANDHRA,TRUE,TRUE,FALSE,Male,,,,,,
Akula Veerraju,http://myneta.info/andhra2014/candidate.php?candidate_id=3218,RAJAHMUNDRY RURAL,Yuvajana Sramika Rythu Congress Party,0,5th Pass,62815076,2000000,60815076,170,GEN,EAST GODAVARI,COASTAL ANDHRA,TRUE,TRUE,FALSE,Male,,,,,,
Akurathi Bharathi,http://myneta.info/andhra2014/candidate.php?candidate_id=4296,CHIRALA,Great India Party,0,Not Given,204390,0,204390,225,GEN,PRAKASAM,COASTAL ANDHRA,FALSE,FALSE,FALSE,Female,,,,,,
Akurathi Revanth Srinivasarao,http://myneta.info/andhra2014/candidate.php?candidate_id=4308,CHIRALA,IND,0,10th Pass,232000,0,232000,225,GEN,PRAKASAM,COASTAL ANDHRA,FALSE,TRUE,FALSE,Male,,,,,,
Akurathi Venkateswara Rao,http://myneta.info/andhra2014/candidate.php?candidate_id=2528,BAPATLA,Pyramid Party of India,0,5th Pass,120500,45000,75500,211,GEN,GUNTUR,COASTAL ANDHRA,FALSE,FALSE,FALSE,Male,,,,,,
Alajangi Jogarao,http://myneta.info/andhra2014/candidate.php?candidate_id=3774,PARVATHIPURAM,INC,0,Post Graduate,3210500,300000,2910500,131,SC,VIZIANAGARAM,COASTAL ANDHRA,FALSE,TRUE,FALSE,Male,,,,,,
Alakunta Mohan,http://myneta.info/andhra2014/candidate.php?candidate_id=4128,THAMBALLAPALLE,IND,0,Literate,545000,0,545000,281,GEN,CHITTOOR,RAYALA SEEMA,FALSE,FALSE,FALSE,Male,,,,,,
Alapati Rajendra Prasad,http://myneta.info/andhra2014/candidate.php?candidate_id=2809,TENALI,TDP,8,Graduate Professional,311109584,150138097,160971487,210,GEN,GUNTUR,COASTAL ANDHRA,TRUE,TRUE,TRUE,Male,,,,,,
Alapu Chinnarao,http://myneta.info/andhra2014/candidate.php?candidate_id=4161,PEDDAPURAM,IND,0,8th Pass,260000,200000,60000,158,GEN,EAST GODAVARI,COASTAL ANDHRA,FALSE,FALSE,FALSE,Male,,,,,,
Aligi Venkata Pandu Ranga Rao,http://myneta.info/andhra2014/candidate.php?candidate_id=3685,PALACOLE,IND,0,5th Pass,422055,66000,356055,176,GEN,WEST GODAVARI,COASTAL ANDHRA,FALSE,TRUE,FALSE,Male,,,,,,
Alla Kali Krishna Srinivas,http://myneta.info/andhra2014/candidate.php?candidate_id=3604,ELURU,Yuvajana Sramika Rythu Congress Party,0,12th Pass,41190276,5000000,36190276,184,GEN,WEST GODAVARI,COASTAL ANDHRA,TRUE,TRUE,FALSE,Male,http://myneta.info/andhra2014/index.php?action=affidavitComparison&myneta_folder2=ap09&id1=3604&id2=3108,41190276,4500000,36690276,815%,Party in last election was INC
Alla Rama Krishna Reddy,http://myneta.info/andhra2014/candidate.php?candidate_id=2675,MANGALAGIRI,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,197413755,56773496,140640259,206,GEN,GUNTUR,COASTAL ANDHRA,TRUE,TRUE,FALSE,Male,,,,,,
Alladu Pandu Ranga Reddy,http://myneta.info/andhra2014/candidate.php?candidate_id=2421,KADAPA,NCP,0,Others,2073450,350000,1723450,245,GEN,KADAPA,RAYALA SEEMA,TRUE,TRUE,FALSE,Male,,,,,,
Allapu Reddy Harinatha Reddy,http://myneta.info/andhra2014/candidate.php?candidate_id=2402,KADAPA,BJP,0,Graduate,137886984,7961190,129925794,245,GEN,KADAPA,RAYALA SEEMA,TRUE,TRUE,FALSE,Male,,,,,,
Allu Malakondarayudu,http://myneta.info/andhra2014/candidate.php?candidate_id=4116,KANIGIRI,IND,0,12th Pass,20000,0,20000,232,GEN,PRAKASAM,COASTAL ANDHRA,FALSE,FALSE,FALSE,Male,,,,,,
Alluri Venkata Satya Padma Raju,http://myneta.info/andhra2014/candidate.php?candidate_id=3601,ELURU,INC,0,Graduate Professional,12536000,14000000,-1464000,184,GEN,WEST GODAVARI,COASTAL ANDHRA,TRUE,TRUE,FALSE,Male,,,,,,
Alokam Ramesh Babu,http://myneta.info/andhra2014/candidate.php?candidate_id=4325,PARCHUR,IND,0,12th Pass,3750000,50000,3700000,223,GEN,PRAKASAM,COASTAL ANDHRA,FALSE,FALSE,FALSE,Male,,,,,,
