candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender
GLENBERT LAWRENCE KHONGWIR,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=201,Mawkhar,KHNAM,0,Graduate,164480,0,164480,20,ST,NA,NA,,false,false,Male
GODWIN D. SHIRA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=234,Dalu,BJP,0,Post Graduate,1891134,0,1891134,55,ST,NA,NA,,false,false,Male
GOPAL A. SANGMA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=233,Dalu,UDP,0,12th Pass,427212,200000,227212,55,ST,NA,NA,,false,false,Male
GOPINATH SANGMA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=121,Salmanpura,NCP,0,10th Pass,11287433,0,11287433,59,ST,NA,NA,,false,false,Male
GREBITH D. SANGMA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=123,Salmanpura,IND,0,Graduate,315000,0,315000,59,ST,NA,NA,,false,false,Male
GREGORIUS KHARNAIOR,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=194,Mawlai,LJP,0,12th Pass,15000,0,15000,23,ST,NA,NA,,false,false,Male
GROSSPER RYNTATHIANG,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=143,Mairang,MDP,0,12th Pass,12139,0,12139,12,ST,NA,NA,,false,false,Male
H. BRITAINWAR DAN,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=135,Nartiang,HPDP,0,10th Pass,264801,0,264801,5,ST,NA,NA,,false,false,Male
H. DONKUPAR R. LYNGDOH,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=79,Sohiong,INC,0,Graduate,11250000,2970000,8280000,14,ST,NA,NA,,false,false,Male
H. LEDISHON NONGSIANG,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=168,Mawthengkut,MDP,0,Graduate Professional,36185,0,36185,36,ST,NA,NA,,false,false,Male
HADRIAN LYNGDOH,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=145,Mawkyrwat,NCP,0,Graduate,4996034,0,4996034,32,ST,NA,NA,,false,false,Male
HAPINE M.MARAK,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=284,Dadenggiri,IND,0,10th Pass,175897,0,175897,46,ST,NA,NA,,false,false,Male
HEMBILSTONE K. SANGMA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=346,Baghmara,IND,0,Graduate Professional,8621507,0,8621507,37,ST,NA,NA,,false,false,Male
HENISHING A.SANGMA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=329,Rongram,GNC,0,Post Graduate,36053,0,36053,51,ST,NA,NA,,false,false,Male
HENRY LAMIN,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=134,Nartiang,UDP,0,Doctorate,1530202,0,1530202,5,ST,NA,NA,,false,false,Male
HERMAN NONGRUM,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=197,Laban,IND,0,Graduate Professional,657000,0,657000,22,GEN,NA,NA,,false,false,Male
HERONICE MASHARING,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=153,Mawhati,MDP,0,Graduate,1160000,0,1160000,8,ST,NA,NA,,false,false,Male
HILARIUS POHCHEN,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=184,Nongkrem,NCP,0,Graduate,118122,0,118122,26,ST,NA,NA,,false,false,Male
HILARIUS T. LYNGDOH,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=301,Laitumkharah,LJP,0,Graduate,5500,0,5500,17,ST,NA,NA,,false,false,Male
HOPINGSTONE LYNGDOH,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=39,Nongstoin,HPDP,0,12th Pass,283000,0,283000,34,ST,NA,NA,,false,false,Male
HOPINGSTONE MASHARING,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=341,Umroi,LJP,0,Graduate,0,0,0,9,ST,NA,NA,,false,false,Male
I.ROCKFELLER RANGDKHEW,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=220,Mawsynram,BJP,0,Post Graduate,350000,0,350000,31,ST,NA,NA,,false,false,Male
IRENE PATRICIA HUJON,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=298,Laban,LJP,0,Others,2511618,0,2511618,22,GEN,NA,NA,,false,false,Female
IRIN LYNGDOH,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=38,Pariong,INC,0,Graduate,4428077,0,4428077,33,ST,NA,NA,,false,false,Female
ISMAIL R.MARAK,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=97,Rongram,IND,0,10th Pass,922567,0,922567,51,ST,NA,NA,,false,false,Male
J. ANTONIUS LYNGDOH,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=51,Nongspung,UDP,0,Graduate,16303628,0,16303628,13,ST,NA,NA,,false,false,Male
J. DRINGWELL  RYMBAI,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=35,Jirang,UDP,0,Graduate Professional,3016241,0,3016241,11,ST,NA,NA,,false,false,Male
J. T. STORMDING THONGNI,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=165,Nongstoin,INC,0,Graduate,4419454,0,4419454,34,ST,NA,NA,,false,false,Male
JAHANNARA B.KHARBHIH,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=324,Rajabala,UDP,0,Graduate Professional,48025000,479820,47545180,49,ST,NA,NA,,false,false,Male
JAMES KUMAR PAM,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=172,Mendipathar,BJP,0,Graduate Professional,577508,0,577508,41,ST,NA,NA,,false,false,Male
