candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Chamraram Kaushik,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=977,BILHA,Hindustan Janata Party,0,Graduate,3103239,0,3103239,29,GEN,BILASPUR,CHHATTISGARH PLAINS,false,false,false,Male,,,,,,
Chandan Markam,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=678,DURG CITY,Aazad Janata Party,0,10th Pass,272000,80000,192000,64,GEN,DURG,CHHATTISGARH PLAINS,true,true,false,Male,,,,,,
Chandan Singh Kashyap,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=14,NARAYANPUR,INC,0,Post Graduate,1969600,350000,1619600,84,ST,KONDAGAON,BASTAR PLATEAU,true,true,false,Male,,,,,,
Chandra Kumar,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=667,PATAN,Rashtriya Adivasi Bahujan Party,0,12th Pass,35000,0,35000,62,GEN,DURG,CHHATTISGARH PLAINS,false,false,false,Male,,,,,,
Chandra Kumar Sharma,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=567,KORBA,LJP,0,8th Pass,161500,24804,136696,21,GEN,KORBA,CHHATTISGARH PLAINS,false,true,false,Male,,,,,,
Chandra Kumar Sonvani,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=657,BEMETARA,IND,0,10th Pass,3803426,530055,3273371,69,GEN,BEMETARA,CHHATTISGARH PLAINS,false,false,false,Male,,,,,,
Chandrabhan Barmate,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=626,MUNGELI,INC,0,10th Pass,21624816,4235825,17388991,27,SC,MUNGELI,CHHATTISGARH PLAINS,true,true,false,Male,,,,,,
Chandrabhan Dhruw,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=213,SIHAWA,BSP,0,Post Graduate,340589,0,340589,56,ST,DHAMTARI,CHHATTISGARH PLAINS,false,false,false,Male,,,,,,
Chandrabhan Singh Jagat,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=975,TAKHATPUR,GGP,0,Post Graduate,7653000,0,7653000,28,GEN,BILASPUR,CHHATTISGARH PLAINS,false,true,false,Male,,,,,,
Chandrahas Sinha,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=320,RAJIM,IND,0,12th Pass,3938653,60000,3878653,54,GEN,GARIABAND,CHHATTISGARH PLAINS,false,false,false,Male,,,,,,
