candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Chitta Ranjan Debbarma,http://myneta.info/tripura2018/candidate.php?candidate_id=5898,TAKARJALA,TSP,0,Post Graduate,9555168,0,9555168,12,ST,West Tripura,Tripura West,false,true,false,Male,,,,,,
Daniel Jamatia,http://myneta.info/tripura2018/candidate.php?candidate_id=5804,AMPINAGAR,CPI(M),0,Graduate,3029887,690666,2339221,41,ST,Gomati,Tripura East,false,true,false,Male,http://myneta.info/tripura2018/index.php?action=affidavitComparison&myneta_folder2=tripura2013&id1=5804&id2=102,3029887,1757181,1272706,72%,
Daniel Kaipeng,http://myneta.info/tripura2018/candidate.php?candidate_id=5851,AMPINAGAR,INC,0,10th Pass,212487,0,212487,41,ST,Gomati,Tripura East,false,true,false,Male,,,,,,
Daniel Sangma,http://myneta.info/tripura2018/candidate.php?candidate_id=6076,PENCHARTHAL,Indigenous Nationalist Party of Twipra,0,10th Pass,1050000,0,1050000,59,ST,North Tripura,Tripura East,false,true,false,Male,,,,,,
Dasarath Sarkar,http://myneta.info/tripura2018/candidate.php?candidate_id=5992,CHANDIPUR,IND,0,10th Pass,72500,50000,22500,52,GEN,Unakoti,Tripura East,false,true,false,Male,,,,,,
Dhananjoy Tripura,http://myneta.info/tripura2018/candidate.php?candidate_id=5956,MANU,IPFT,1,Post Graduate,42055,0,42055,39,ST,South Tripura,Tripura East,false,false,true,Male,,,,,,
Dhananoy Tripura,http://myneta.info/tripura2018/candidate.php?candidate_id=5960,RAIMA VALLEY,IPFT,0,Graduate,206456,0,206456,44,ST,Dhalai,Tripura East,false,true,false,Male,,,,,,
Dhirendra Debbarma,http://myneta.info/tripura2018/candidate.php?candidate_id=6068,MANDAI BAZAR,IPFT,1,10th Pass,849299,235000,614299,11,ST,West Tripura,Tripura West,false,true,true,Male,,,,,,
Diba Chandra Hrangkhawl,http://myneta.info/tripura2018/candidate.php?candidate_id=5977,KARAMCHARA,BJP,0,8th Pass,4102885,1341673,2761212,48,ST,Dhalai,Tripura East,false,true,false,Male,http://myneta.info/tripura2018/index.php?action=affidavitComparison&myneta_folder2=tripura2013&id1=5977&id2=36,4102885,6697,4096188,61165%,PAN was missing last time Party in last election was INC
Dilip Kumar Choudhury (Muhury),http://myneta.info/tripura2018/candidate.php?candidate_id=5800,HRISHYAMUKH,INC,0,12th Pass,10778500,0,10778500,37,GEN,South Tripura,Tripura East,true,true,false,Male,,,,,,
Dilip Kumar Das,http://myneta.info/tripura2018/candidate.php?candidate_id=5881,BARJALA,BJP,0,Post Graduate,18725699,0,18725699,4,SC,West Tripura,Tripura West,true,true,false,Male,,,,,,
Dilip Kumar Ghosh,http://myneta.info/tripura2018/candidate.php?candidate_id=5877,MOHANPUR,INC,0,Graduate,3064950,500000,2564950,2,GEN,West Tripura,Tripura West,false,true,false,Male,,,,,,
Dilip Kumar Munda,http://myneta.info/tripura2018/candidate.php?candidate_id=6021,ASHARAMBARI,TSP,0,Graduate Professional,2000,0,2000,26,ST,Khowai,Tripura East,false,false,false,Male,,,,,,
