candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender
RAM PRASAD BANJARE,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=631,Ahiwara,IND,0,5th Pass,3940000,100000,3840000,67,SC,DURG,CHHATTISGARH PLAINS,,false,false,Male
RAM PRASAD NETAM,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=1017,Sihawa,LSWP,0,Literate,312000,0,312000,56,ST,DHAMTARI,CHHATTISGARH PLAINS,,false,false,Male
RAM PRASAD THAKUR,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=502,Gunderdehi,GGP,0,5th Pass,543500,5000,538500,61,GEN,BALOD,CHHATTISGARH PLAINS,,false,false,Male
RAM VICHAR NETAM,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=341,Ramanujganj,BJP,0,10th Pass,13333886,1759229,11574657,7,ST,BALRAMPUR,NOTHERN HILLS,,true,false,Male
RAMA SODI,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=107,Konta,CPI,1,Graduate Professional,461305,30000,431305,90,ST,SUKUMA,BASTAR PLATEAU,,false,true,Male
RAMADHAR CHATURVEDI,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=168,Kawardha,IND,0,Literate,611000,5600,605400,72,GEN,KABIRDHAM,CHHATTISGARH PLAINS,,false,false,Male
RAMADHAR KASHYAP,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=724,Bilha,IND,0,Not Given,795000,0,795000,29,GEN,BILASPUR,CHHATTISGARH PLAINS,,true,false,Male
RAMANUJ (RAMU BHAIYA ),http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=206,Manendragarh,NCP,1,12th Pass,10220687,120000,10100687,2,GEN,KORIA,NOTHERN HILLS,,true,true,Male
RAMASHANKAR GUPTA,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=376,Manendragarh,CPI,0,12th Pass,41241000,0,41241000,2,GEN,KORIA,NOTHERN HILLS,,false,false,Male
RAMAYAN BAI NIRALA,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=513,Kasdol,SP,0,Not Given,717500,0,717500,44,GEN,BALODABAZAR,CHHATTISGARH PLAINS,,false,false,Male
RAMDAS MAHANT,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=833,Korba,CSP,0,Graduate,0,0,0,21,GEN,KORBA,CHHATTISGARH PLAINS,,false,false,Male
RAMDAYAL URAON,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=188,Rampur,IND,0,10th Pass,45000,0,45000,20,ST,KORBA,CHHATTISGARH PLAINS,,false,false,Male
RAMDEV RAM,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=349,Lundra,INC,0,10th Pass,1160200,514434,645766,9,ST,SURGUJA,NOTHERN HILLS,,false,false,Male
RAMDULAR SINGH AAYAM,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=211,Baikunthpur,GGP,0,12th Pass,370000,200000,170000,3,GEN,KORIA,NOTHERN HILLS,,false,false,Male
