candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender
TAME PHASSANG,http://myneta.info/an2004/candidate.php?candidate_id=22,SEPPA EAST,IND,0,Graduate,22312858,0,22312858,10,ST,NA,NA,,false,,Male
TAMIYO TAGA,http://myneta.info/an2004/candidate.php?candidate_id=115,RUMGONG,IND,0,Graduate,43742000,0,43742000,32,ST,NA,NA,,false,,Male
TANGA BYALING,http://myneta.info/an2004/candidate.php?candidate_id=54,NACHO,INC,0,Not Given,1691640,0,1691640,22,ST,NA,NA,,false,,Male
TANGOR TAPAK,http://myneta.info/an2004/candidate.php?candidate_id=105,PASIGHAT WEST,BJP,0,Graduate Professional,10045000,0,10045000,37,ST,NA,NA,,false,,Male
TANI LOFFA,http://myneta.info/an2004/candidate.php?candidate_id=23,SEPPA WEST,BJP,0,Graduate,450000,0,450000,11,ST,NA,NA,,false,,Male
TANILNG TASIRING,http://myneta.info/an2004/candidate.php?candidate_id=57,TALIHA,IND,0,5th Pass,250000,0,250000,23,ST,NA,NA,,false,,Male
TANYONG TATAK,http://myneta.info/an2004/candidate.php?candidate_id=109,PANGIN,INC,0,12th Pass,1295000,0,1295000,35,ST,NA,NA,,false,,Male
TAPANG TALOH,http://myneta.info/an2004/candidate.php?candidate_id=108,PANGIN,BJP,0,Graduate,19910000,0,19910000,35,ST,NA,NA,,false,,Male
TARA BHGANG,http://myneta.info/an2004/candidate.php?candidate_id=18,CHAYANGTAJO,INC,0,Graduate,6452000,0,6452000,9,ST,NA,NA,,false,,Male
TARIK RAVA,http://myneta.info/an2004/candidate.php?candidate_id=55,NACHO,IND,0,Illiterate,240000,0,240000,22,ST,NA,NA,,false,,Male
TATAR KIPA,http://myneta.info/an2004/candidate.php?candidate_id=46,NYAPIN,INC,0,12th Pass,80446350,1000000,79446350,19,ST,NA,NA,,false,,Male
TECHI HEMU,http://myneta.info/an2004/candidate.php?candidate_id=27,PAKKE_KASANG,BJP,0,Not Given,5116404,0,5116404,12,ST,NA,NA,,false,,Male
THAJAM ABOH,http://myneta.info/an2004/candidate.php?candidate_id=36,KHONSA WEST,INC,0,Graduate,1200000,0,1200000,56,ST,NA,NA,,false,,Male
THANWANG WANGHAM,http://myneta.info/an2004/candidate.php?candidate_id=19,LONGDING_PUMAO,NCP,0,Graduate,150000,0,150000,59,ST,NA,NA,,false,,Male
THINGHAP TAIJU,http://myneta.info/an2004/candidate.php?candidate_id=59,CHANGLANG NORTH,IND,0,Graduate,4923415,433294,4490121,53,ST,NA,NA,,false,,Male
TINGPONG WANGHAM,http://myneta.info/an2004/candidate.php?candidate_id=20,LONGDING_PUMAO,INC,0,10th Pass,250000,0,250000,59,ST,NA,NA,,false,,Male
TSEWANG DHONDUP,http://myneta.info/an2004/candidate.php?candidate_id=3,TAWANG,INC,0,Graduate,2950000,0,2950000,2,ST,NA,NA,,false,,Male
WANGKI LOWANG,http://myneta.info/an2004/candidate.php?candidate_id=53,NAMSANG,INC,0,Graduate,1000000,0,1000000,54,ST,NA,NA,,false,,Male
WANGLIN LOWANGDONG,http://myneta.info/an2004/candidate.php?candidate_id=31,BORDURIA_BOGAPANI,IND,0,Not Given,6455000,0,6455000,57,ST,NA,NA,,false,,Male
WANGNIA PONGTE,http://myneta.info/an2004/candidate.php?candidate_id=58,CHANGLANG NORTH,INC,0,Graduate,4527000,0,4527000,53,ST,NA,NA,,false,,Male
WANGPHA LOWANG,http://myneta.info/an2004/candidate.php?candidate_id=52,NAMSANG,IND,0,Graduate,5234734,0,5234734,54,ST,NA,NA,,false,,Male
YARI DULOM,http://myneta.info/an2004/candidate.php?candidate_id=61,DAPORIJO,INC,0,Illiterate,14942283,5394808,9547475,24,ST,NA,NA,,false,,Female
YOMTO JINI,http://myneta.info/an2004/candidate.php?candidate_id=117,ALONG EAST,BJP,0,Graduate,4298751,0,4298751,31,ST,NA,NA,,false,,Male
YUMSEM MATEY,http://myneta.info/an2004/candidate.php?candidate_id=37,KHONSA WEST,IND,0,Graduate,3550000,0,3550000,56,ST,NA,NA,,false,,Male
