candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender
MANJUNATH R,http://myneta.info/karnatka2008/candidate.php?candidate_id=1026,Hiriyur,IND,0,Graduate,31788000,0,31788000,100,GEN,CHITRADURGA,BANGALORE DIVISION,,false,false,Male
MANJUNATH SHIVALINGAPPA MUDAGAL,http://myneta.info/karnatka2008/candidate.php?candidate_id=937,Shiggaon,IND,0,Graduate Professional,968031,0,968031,83,GEN,HAVERI,BELGAUM DIVISION,,false,false,Male
MANJUNATH.B.S,http://myneta.info/karnatka2008/candidate.php?candidate_id=1305,Tumkur City,IND,0,Graduate Professional,2239000,1600000,639000,132,GEN,TUMKUR,BANGALORE DIVISION,,false,false,Male
MANJUNATH.V,http://myneta.info/karnatka2008/candidate.php?candidate_id=1428,Srinivaspur,BSP,0,Graduate,873836,0,873836,144,GEN,KOLAR,BANGALORE DIVISION,,true,false,Male
MANJUNATHA,http://myneta.info/karnatka2008/candidate.php?candidate_id=1764,Hunsur,IND,0,Not Given,20000,0,20000,212,GEN,MYSORE,MYSORE DIVISION,,false,false,Male
MANOHAR H AYYANNAVAR,http://myneta.info/karnatka2008/candidate.php?candidate_id=1891,Badami,IND,0,Graduate Professional,1235700,0,1235700,23,GEN,BAGALKOT,BELGAUM DIVISION,,false,false,Male
MARAPPA RAMACHANDRAPPA MOTI(VESHAGARA),http://myneta.info/karnatka2008/candidate.php?candidate_id=714,Kanakagiri,IND,0,8th Pass,620000,765000,-145000,61,SC,KOPPAL,MYSORE DIVISION,,true,false,Male
MAREMMA SUKHALPET,http://myneta.info/karnatka2008/candidate.php?candidate_id=686,Sindhanur,IND,0,Illiterate,835000,0,835000,58,GEN,RAICHUR,GULBARGA REGION,,false,false,Female
MAREPPA JAMBANNA,http://myneta.info/karnatka2008/candidate.php?candidate_id=711,Kanakagiri,CPI(ML)(L),0,Literate,950000,800000,150000,61,SC,KOPPAL,MYSORE DIVISION,,false,false,Male
MARIHAL SURESH SHIVARUDRAPPA,http://myneta.info/karnatka2008/candidate.php?candidate_id=319,Kittur,BJP,0,10th Pass,3451008,190000,3261008,15,GEN,BELGAUM,BELGAUM DIVISION,,false,false,Male
MARIYAPPA,http://myneta.info/karnatka2008/candidate.php?candidate_id=1268,Kadur,IND,0,5th Pass,545000,0,545000,127,GEN,CHICKMAGALUR,MYSORE DIVISION,,false,false,Male
MARUTI DAULATRAO SHINDE,http://myneta.info/karnatka2008/candidate.php?candidate_id=269,Belgaum Dakshin,SP,0,12th Pass,145000,0,145000,12,GEN,BELGAUM,BELGAUM DIVISION,,false,false,Male
MARUTI MADEVAPPA VADDAR,http://myneta.info/karnatka2008/candidate.php?candidate_id=804,Kundgol,IND,0,Literate,1150000,37400,1112600,70,GEN,DHARWAD,BELGAUM DIVISION,,false,false,Male
MARUTI MANAPADE,http://myneta.info/karnatka2008/candidate.php?candidate_id=590,Gulbarga Rural,CPM,0,Not Given,2023300,0,2023300,43,SC,GULBARGA,GULBARGA REGION,,false,false,Male
MASHYALKAR MAMMAD AKRAM (AHIND),http://myneta.info/karnatka2008/candidate.php?candidate_id=2265,Bijapur City,IND,0,12th Pass,1230000,25000,1205000,30,GEN,BIJAPUR,BELGAUM DIVISION,,true,false,Male
MAYADEVI GOUTAM KOKATE,http://myneta.info/karnatka2008/candidate.php?candidate_id=627,Aland,IND,0,Literate,95000,0,95000,46,GEN,GULBARGA,GULBARGA REGION,,false,false,Female
MEERAJUDDI N NPATEL,http://myneta.info/karnatka2008/candidate.php?candidate_id=429,Homnabad,JD(S),3,Post Graduate,28705181,7360000,21345181,48,GEN,BIDAR,GULBARGA REGION,,true,false,Male
