candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations
BIKASH ROY,http://myneta.info/tripura2008/candidate.php?candidate_id=29,Agartala,CPM,0,Post Graduate,6779956,652400,6127556,6,GEN
BILLAL MIA,http://myneta.info/tripura2008/candidate.php?candidate_id=264,Boxanagar,INC,0,Graduate,3853923,1274050,2579873,19,GEN
BINOY REANG,http://myneta.info/tripura2008/candidate.php?candidate_id=210,Pencharthal,IND,0,Graduate Professional,25000,0,25000,58,ST
BINOY REANG,http://myneta.info/tripura2008/candidate.php?candidate_id=205,Kanchanpur,IND,0,Graduate Professional,25000,0,25000,60,ST
BIRAJIT SINHA,http://myneta.info/tripura2008/candidate.php?candidate_id=173,Kailasahar,INC,1,12th Pass,14143086,1828796,12314290,53,GEN
BIRESWAR SINGHA,http://myneta.info/tripura2008/candidate.php?candidate_id=167,Fatikroy,BJP,0,Post Graduate,1122000,143500,978500,51,GEN
BISWAJIT DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=230,Pramodenagar,IND,0,10th Pass,0,0,0,26,ST
BISWAMANI DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=56,Takarjala,IND,0,8th Pass,22143,0,22143,12,ST
BIVA RANI NATH,http://myneta.info/tripura2008/candidate.php?candidate_id=129,Jubarajnagar,INC,0,Graduate,5110000,0,5110000,57,GEN
BRAJENDRA DAS,http://myneta.info/tripura2008/candidate.php?candidate_id=46,Bamutia,AMB,0,8th Pass,555000,0,555000,3,SC
BRAJENDRA MOG CHOUDHURI,http://myneta.info/tripura2008/candidate.php?candidate_id=256,Jolaibari,INC,0,Post Graduate,640436,0,640436,39,ST
BUDHU KUMAR DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=7,Mandaibazar,IND,0,8th Pass,762000,0,762000,11,ST
CHALE AHAMMED,http://myneta.info/tripura2008/candidate.php?candidate_id=266,Boxanagar,CPI(ML)(L),0,Literate,466250,0,466250,19,GEN
CHIRA KUMAR DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=238,Ramchandraghat,IND,0,10th Pass,0,0,0,23,ST
CHITTA RANJAN DAS,http://myneta.info/tripura2008/candidate.php?candidate_id=109,Kamalasagar,AITC,0,10th Pass,498116,0,498116,15,GEN
DANIEL JAMATIA,http://myneta.info/tripura2008/candidate.php?candidate_id=58,Ampinagar,CPM,0,Graduate,1276164,0,1276164,42,ST
DEBASISH DATTA,http://myneta.info/tripura2008/candidate.php?candidate_id=91,Badharghat,AITC,0,Post Graduate,894230,200000,694230,14,GEN
DHANANJAY DEBNATH,http://myneta.info/tripura2008/candidate.php?candidate_id=148,Panisagar,BJP,0,12th Pass,450000,0,450000,59,GEN
DHANANJOY DEBNATH,http://myneta.info/tripura2008/candidate.php?candidate_id=223,Khowai,BJP,0,Not Given,52350,0,52350,24,GEN
DHANBHAKTI JAMATIA,http://myneta.info/tripura2008/candidate.php?candidate_id=218,Asharambari,BJP,0,10th Pass,0,0,0,25,ST
DHIRENDRA DEBNATH,http://myneta.info/tripura2008/candidate.php?candidate_id=50,Mohanpur,BJP,0,8th Pass,117470,0,117470,2,GEN
DILIP CHOUDHURY,http://myneta.info/tripura2008/candidate.php?candidate_id=76,Hrishyamukh,INC,0,10th Pass,4437000,0,4437000,38,GEN
DILIP DUTTA,http://myneta.info/tripura2008/candidate.php?candidate_id=89,Badharghat,AIFB,0,8th Pass,155897,50135,105762,14,GEN
DILIP SARKAR,http://myneta.info/tripura2008/candidate.php?candidate_id=85,Badharghat,INC,0,12th Pass,25484972,428939,25056033,14,GEN
DIPAK KUMAR ROY,http://myneta.info/tripura2008/candidate.php?candidate_id=38,Barjala,INC,0,10th Pass,2710818,1104164,1606654,4,GEN
DIPAK NAG,http://myneta.info/tripura2008/candidate.php?candidate_id=11,Majlishpur,INC,0,12th Pass,285226,0,285226,10,GEN
DULAL DEB,http://myneta.info/tripura2008/candidate.php?candidate_id=27,Ramnagar,AIFB,0,10th Pass,646943,42085,604858,7,GEN
DWIJENDRA SAHAJI,http://myneta.info/tripura2008/candidate.php?candidate_id=90,Badharghat,NCP,0,10th Pass,210000,0,210000,14,GEN
FANINDRA DAS,http://myneta.info/tripura2008/candidate.php?candidate_id=180,Pabiachhara,INC,0,8th Pass,6558331,0,6558331,50,SC
FARMAN ALI,http://myneta.info/tripura2008/candidate.php?candidate_id=145,Kurti,AITC,0,8th Pass,50000,0,50000,54,GEN
FAYZUR RAHMAN,http://myneta.info/tripura2008/candidate.php?candidate_id=139,Kurti,CPM,0,10th Pass,261072,0,261072,54,GEN
FAZLUR RAHAMAN,http://myneta.info/tripura2008/candidate.php?candidate_id=137,Kadamtala,LJP,0,12th Pass,1076600,0,1076600,55,GEN
GANESH KALAI,http://myneta.info/tripura2008/candidate.php?candidate_id=229,Pramodenagar,IND,0,12th Pass,10500,0,10500,26,ST
GAYATRI DEBNATH,http://myneta.info/tripura2008/candidate.php?candidate_id=224,Khowai,IND,0,10th Pass,135000,0,135000,24,GEN
GOPAL CHANDRA DAS,http://myneta.info/tripura2008/candidate.php?candidate_id=265,Boxanagar,BJP,0,Post Graduate,340000,0,340000,19,GEN
