candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks,party_eci
Tulsiram Silawat,http://myneta.info/mp2013/candidate.php?candidate_id=138,SANWER,INC,1,Post Graduate,81304054,4102808,77201246,211,SC,INDORE,MALWA PLATEAU,true,true,true,Male,http://myneta.info/mp2013/index.php?action=affidavitComparison&myneta_folder2=2008mp&id1=138&id2=191,81304054,16443577,64860477,394%,Age Difference=2,Indian National Congress
Uday Kumar Sahu,http://myneta.info/mp2013/candidate.php?candidate_id=1439,JABALPUR WEST,IND,0,Graduate Professional,1633985,567600,1066385,100,GEN,JABALPUR,KYMORE PLEATEAU AND SATPURA HILLS,true,true,false,Male,,,,,,,Independent
Udayan Bhan,http://myneta.info/mp2013/candidate.php?candidate_id=577,VIJAYPUR,SP,1,Graduate Professional,10763462,857000,9906462,2,GEN,SHEOPUR,GIRD ZONE,true,true,false,Male,,,,,,,Samajwadi Party
Udaysingh Pancheshwar,http://myneta.info/mp2013/candidate.php?candidate_id=556,KATANGI,BSP,0,Post Graduate,1191500,119298,1072202,113,GEN,BALAGHAT,CHHATTISGARH PLAINS,false,false,false,Male,,,,,,,Bahujan Samaj Party
Udham Singh Kushvah,http://myneta.info/mp2013/candidate.php?candidate_id=2374,SIRONG,IND,0,8th Pass,314000,0,314000,147,GEN,VIDISHA,VINDHYAN PLEATEAU,false,false,false,Male,,,,,,,Independent
Udhay Bhan Singh Maravi,http://myneta.info/mp2013/candidate.php?candidate_id=2640,BAHORIBAND,NPP,0,Literate,4210000,0,4210000,94,GEN,KATNI,NOTHERN HILLS ZONE OF CHHATTISGARH,false,true,false,Male,,,,,,,National People's Party
Udit Narayan,http://myneta.info/mp2013/candidate.php?candidate_id=1984,RAMPUR BAGHELAN,IND,0,Doctorate,161500,0,161500,67,GEN,SATNA,KYMORE PLEATEAU AND SATPURA HILLS,false,true,false,Male,,,,,,,Independent
Uma  Ramsahay  Ahirwar,http://myneta.info/mp2013/candidate.php?candidate_id=1175,BIJAWAR,Bahujan Sangharshh Dal,0,12th Pass,2534623,120443,2414180,52,GEN,CHHATARPUR,BUNDELKHAND ZONE,false,false,false,Female,,,,,,,Bahujan Sangharshh Dal
Uma  Shankar Urf Mulle Chaurasia,http://myneta.info/mp2013/candidate.php?candidate_id=1802,MAHARAJPUR,IND,0,8th Pass,1101000,0,1101000,48,GEN,CHHATARPUR,BUNDELKHAND ZONE,false,false,false,Male,,,,,,,Independent
Umadevi Khatik,http://myneta.info/mp2013/candidate.php?candidate_id=698,HATA,BJP,0,12th Pass,6517856,1451660,5066196,57,SC,DAMOH,VINDHYAN PLEATEAU,true,true,false,Female,http://myneta.info/mp2013/index.php?action=affidavitComparison&myneta_folder2=2008mp&id1=698&id2=107,6517856,2035684,4482172,220%,Age Difference=11 PAN was missing last time,Bharatiya Janata Party
Umang Singhar,http://myneta.info/mp2013/candidate.php?candidate_id=468,GANDHWANI,INC,0,Graduate,23406740,871641,22535099,197,ST,DHAR,MALWA PLATEAU,true,true,false,Male,http://myneta.info/mp2013/index.php?action=affidavitComparison&myneta_folder2=2008mp&id1=468&id2=127,23406740,3173996,20232744,637%,PAN is Different,Indian National Congress
Umashankar,http://myneta.info/mp2013/candidate.php?candidate_id=1224,CHITRAKOOT,IND,0,12th Pass,510000,365000,145000,61,GEN,SATNA,KYMORE PLEATEAU AND SATPURA HILLS,false,true,false,Male,,,,,,,Independent
Umashankar,http://myneta.info/mp2013/candidate.php?candidate_id=2549,LAHAR,IND,0,8th Pass,56000,0,56000,11,GEN,BHIND,GIRD ZONE,false,false,false,Male,,,,,,,Independent
Umashankar,http://myneta.info/mp2013/candidate.php?candidate_id=1741,NARYAWALI,Aarthik Samanta Party,0,12th Pass,20000,0,20000,40,SC,SAGAR,VINDHYAN PLEATEAU,false,false,false,Male,,,,,,,Aarthik Samanta Party
Umashankar Gupta,http://myneta.info/mp2013/candidate.php?candidate_id=174,BHOPAL DAKSHINA-PASCHIM,BJP,0,Post Graduate,33375568,6309000,27066568,152,GEN,BHOPAL,VINDHYAN PLEATEAU,true,true,false,Male,http://myneta.info/mp2013/index.php?action=affidavitComparison&myneta_folder2=2008mp&id1=174&id2=63,33375568,13243731,20131837,152%,,Bharatiya Janata Party
Umendra Sirsam,http://myneta.info/mp2013/candidate.php?candidate_id=2100,BALAGHAT,IND,0,12th Pass,53000,0,53000,111,GEN,BALAGHAT,CHHATTISGARH PLAINS,false,false,false,Male,,,,,,,Independent
Umesh Kumar,http://myneta.info/mp2013/candidate.php?candidate_id=2027,TEONTHAR,Apna Dal,0,Post Graduate,1696570,0,1696570,70,GEN,REWA,KYMORE PLEATEAU AND SATPURA HILLS,true,true,false,Male,,,,,,,Apna Dal
Umesh Singh Bhadoria,http://myneta.info/mp2013/candidate.php?candidate_id=589,ATER,IND,0,10th Pass,2562000,0,2562000,9,GEN,BHIND,GIRD ZONE,false,true,false,Male,,,,,,,Independent
Ummed Lihari,http://myneta.info/mp2013/candidate.php?candidate_id=1573,BALAGHAT,INC,1,12th Pass,790311,100000,690311,111,GEN,BALAGHAT,CHHATTISGARH PLAINS,false,true,false,Male,,,,,,,Indian National Congress
Umraosingh,http://myneta.info/mp2013/candidate.php?candidate_id=1280,ICHHAWAR,IND,0,Post Graduate,4439700,15000,4424700,158,GEN,SEHORE,VINDHYAN PLEATEAU,false,false,false,Male,,,,,,,Independent
Upendra Singh,http://myneta.info/mp2013/candidate.php?candidate_id=934,MORENA,SP,0,Graduate,181000,0,181000,6,GEN,MORENA,GIRD ZONE,false,true,false,Male,,,,,,,Samajwadi Party
Urdu Thakur,http://myneta.info/mp2013/candidate.php?candidate_id=2487,NARSINGPUR,Akhil Bhartiya Gondwana Party,0,Literate,810500,0,810500,119,GEN,NARSINGHPUR,CENTRAL NARMADA VALLEY,false,false,false,Male,,,,,,,Akhil Bhartiya Gondwana Party
Usha,http://myneta.info/mp2013/candidate.php?candidate_id=39,RAIGAON,BSP,0,12th Pass,1252000,850000,402000,62,SC,SATNA,KYMORE PLEATEAU AND SATPURA HILLS,false,false,false,Female,,,,,,,Bahujan Samaj Party
Usha Devi,http://myneta.info/mp2013/candidate.php?candidate_id=2025,TEONTHAR,Akhil Bhartiya Gondwana Party,0,5th Pass,5000,0,5000,70,GEN,REWA,KYMORE PLEATEAU AND SATPURA HILLS,false,false,false,Female,,,,,,,Akhil Bhartiya Gondwana Party
Usha Saxena,http://myneta.info/mp2013/candidate.php?candidate_id=364,SEHORE,BJP,0,Graduate,41290873,2495760,38795113,159,GEN,SEHORE,VINDHYAN PLEATEAU,true,true,false,Female,,,,,,,Bharatiya Janata Party
